reading_id,timestamp,year,month,hour,day_of_week,is_weekend,is_rush_hour,season,station_id,station_type,elevation_m,near_highway,near_industry,temp_c,humidity_pct,wind_speed_ms,wind_dir_deg,pressure_hpa,precipitation_mm,visibility_km,temp_inversion,pm25,pm10,no2,o3,so2,co,benzene,aqi,label_respiratory_risk,label_cardiovascular_risk,label_vulnerable_alert,label_outdoor_warning,label_industrial_event
RDG0005262,2022-07-20 15:00:00,2022,7,15,2,0,0,Summer,STN_SUBURB_02,Suburban,67.7,0,0,26.0,55.3,2.4,32.8,1011.0,10.0,4.8,0,7.8,17.0,21.5,111.1,6.8,3.59,2.61,32,0,0,1,0,0
RDG0005058,2022-06-30 04:00:00,2022,6,4,3,0,0,Summer,STN_URBAN_02,Urban,20.5,0,0,29.3,63.5,0.4,167.9,1004.2,0.0,2.2,0,16.8,27.8,12.0,74.7,3.2,12.53,3.67,61,0,1,1,0,0
RDG0003194,2021-12-11 11:00:00,2021,12,11,5,1,0,Winter,STN_SUBURB_01,Suburban,83.9,0,0,4.2,70.0,10.9,232.5,1009.2,0.0,,0,46.8,94.7,28.7,13.3,17.4,2.67,4.24,129,1,0,1,1,0
RDG0007877,2023-05-06 16:00:00,2023,5,16,5,1,1,Spring,STN_URBAN_02,Urban,95.5,0,0,23.7,73.7,15.6,222.0,1015.3,0.0,10.7,0,2.7,11.2,19.6,100.0,14.9,2.94,2.37,11,0,0,0,0,0
RDG0008923,2023-09-01 00:00:00,2023,9,0,4,0,0,Fall,STN_URBAN_01,Urban,91.7,1,0,19.8,57.0,1.1,203.0,1006.1,0.0,11.0,0,5.7,5.6,37.7,20.3,3.2,2.72,1.54,24,0,0,0,0,0
RDG0002519,2021-09-29 01:00:00,2021,9,1,2,0,0,Fall,STN_SUBURB_02,Suburban,36.4,0,0,14.3,65.9,2.0,228.4,1015.1,0.0,5.4,0,13.0,32.9,29.2,20.9,6.7,2.6,2.88,53,0,0,1,0,0
RDG0003526,2022-01-15 22:00:00,2022,1,22,5,1,0,Winter,STN_RURAL_01,Rural,435.2,0,0,-1.3,64.7,1.4,349.5,1005.7,1.0,4.6,0,36.9,80.5,48.9,23.5,80.7,1.86,1.55,104,1,0,1,1,0
RDG0001149,2021-05-03 21:00:00,2021,5,21,0,0,0,Spring,STN_RURAL_01,Rural,308.4,0,0,12.8,66.7,0.4,14.5,1008.0,0.0,7.0,0,8.7,8.7,6.0,14.9,1.3,1.2,0.75,36,0,0,0,0,1
RDG0003288,2021-12-22 03:00:00,2021,12,3,2,0,0,Winter,STN_URBAN_02,Urban,89.9,0,0,9.8,64.9,5.1,223.3,1008.6,0.0,19.0,0,7.9,18.7,66.1,4.3,2.2,6.27,1.23,33,0,0,0,0,1
RDG0002698,2021-10-18 05:00:00,2021,10,5,0,0,0,Fall,STN_INDUSTRIAL_01,Industrial,24.5,1,1,3.2,74.5,3.7,82.7,1005.2,0.0,1.7,0,28.1,47.7,79.9,21.0,15.8,3.12,9.25,85,1,0,1,0,1
RDG0008074,2023-05-30 08:00:00,2023,5,8,1,0,1,Spring,STN_URBAN_01,Urban,85.2,1,0,10.6,85.7,12.8,206.3,1022.6,0.0,14.4,0,17.4,40.9,56.6,30.3,6.7,5.46,1.58,62,0,0,1,0,0
RDG0000647,2021-03-12 04:00:00,2021,3,4,4,0,0,Spring,STN_RURAL_01,Rural,319.5,0,0,8.5,52.5,1.8,46.3,1005.2,0.0,5.5,0,6.3,8.0,23.3,14.3,7.6,1.51,0.93,26,0,0,0,1,0
RDG0006200,2022-10-30 01:00:00,2022,10,1,6,1,0,Fall,STN_RURAL_01,Rural,295.8,0,0,10.5,64.9,0.1,,1006.1,0.0,10.4,0,8.3,8.4,28.7,12.8,2.8,1.33,1.42,35,0,1,0,0,0
RDG0004375,2022-04-16 15:00:00,2022,4,15,5,1,0,Spring,STN_RURAL_01,Rural,486.9,0,0,14.6,68.1,0.8,246.6,1015.9,0.0,23.2,0,77.7,162.0,14.8,61.4,3.0,1.24,2.08,162,1,1,1,1,0
RDG0007594,2023-04-03 06:00:00,2023,4,6,0,0,0,Spring,STN_RURAL_01,Rural,493.2,0,0,16.4,87.3,15.5,331.4,1009.6,0.0,5.8,0,1.0,2.0,4.9,5.3,2.9,0.71,2.22,4,1,0,0,0,0
RDG0006086,2022-10-17 10:00:00,2022,10,10,0,0,0,Fall,STN_SUBURB_02,Suburban,37.8,0,0,27.6,54.5,12.3,319.7,1014.4,1.0,6.2,0,1.0,2.0,11.2,14.1,18.3,5.55,0.84,4,0,0,0,0,0
RDG0002709,2021-10-18 19:00:00,2021,10,19,0,0,1,Fall,STN_URBAN_02,Urban,46.5,0,0,25.0,58.6,3.1,117.8,1025.1,0.0,5.6,0,14.3,20.9,65.1,11.7,5.9,6.62,,56,0,0,1,0,1
RDG0009384,2023-10-24 10:00:00,2023,10,10,1,0,0,Fall,STN_RURAL_01,Rural,420.7,0,0,14.4,33.4,9.0,173.2,1013.2,0.0,5.4,0,4.0,11.5,61.4,9.6,2.1,0.51,1.06,17,0,0,0,1,0
RDG0009427,2023-10-28 18:00:00,2023,10,18,5,1,1,Fall,STN_SUBURB_01,Suburban,92.9,0,0,17.1,76.0,4.7,321.7,1014.3,0.0,5.3,0,64.4,134.3,124.1,22.0,22.1,2.0,2.77,156,1,1,1,1,0
RDG0000107,2021-01-13 11:00:00,2021,1,11,2,0,0,Winter,STN_SUBURB_01,Suburban,33.0,0,0,11.9,53.5,8.6,22.8,997.4,0.0,,0,15.7,33.4,43.3,11.2,4.8,4.83,5.23,59,0,0,1,0,1
RDG0000080,2021-01-11 01:00:00,2021,1,1,0,0,0,Winter,STN_SUBURB_02,Suburban,43.4,0,0,11.3,100.0,5.5,266.8,1013.0,0.0,,0,76.8,128.4,19.6,30.4,3.2,1.96,3.93,162,1,1,1,1,0
RDG0000932,2021-04-08 14:00:00,2021,4,14,3,0,0,Spring,STN_URBAN_02,Urban,107.9,0,0,-1.6,39.9,2.0,126.5,1008.4,1.0,8.0,0,14.8,33.1,27.7,44.0,5.3,3.65,10.49,57,0,0,1,0,1
RDG0000035,2021-01-05 18:00:00,2021,1,18,1,0,1,Winter,STN_URBAN_02,urban,53.9,0,0,7.9,91.3,1.2,347.3,1011.4,0.0,3.8,0,29.6,52.9,86.8,25.3,2.8,1.95,5.56,88,0,0,1,0,1
RDG0001626,2021-06-25 05:00:00,2021,6,5,4,0,0,Summer,STN_RURAL_01,Rural,531.5,0,0,28.3,62.2,0.9,32.8,1022.4,1.0,7.8,0,19.8,27.4,29.4,22.0,8.2,0.85,0.27,67,0,0,1,0,0
RDG0001247,2021-05-13 19:00:00,2021,5,19,3,0,1,Spring,STN_URBAN_02,Urban,56.5,0,0,19.5,83.1,1.4,162.2,1005.9,0.0,2.6,0,19.4,42.2,37.6,24.4,17.7,7.02,1.75,66,0,0,1,0,0
RDG0007835,2023-05-01 09:00:00,2023,5,9,0,0,1,Spring,STN_URBAN_02,Urban,115.7,0,0,13.1,39.7,4.4,263.5,996.4,1.0,12.9,0,7.9,21.5,80.1,2.8,11.0,2.94,1.71,33,0,0,0,0,0
RDG0005682,2022-09-03 18:00:00,2022,9,18,5,1,1,Fall,STN_URBAN_01,Urban,87.2,1,0,13.1,35.6,4.8,227.8,1014.2,0.0,6.0,0,131.3,214.4,45.0,29.4,5.1,3.8,0.67,190,1,1,1,1,0
RDG0006533,2022-12-06 22:00:00,2022,12,22,1,0,0,Winter,STN_URBAN_01,Urban,81.9,1,0,-7.2,63.0,5.6,353.2,1010.2,0.0,4.7,0,23.1,47.2,65.3,23.4,20.4,4.42,,74,0,0,1,0,1
RDG0004584,2022-05-08 20:00:00,2022,5,20,6,1,0,Spring,STN_RURAL_01,Rural,296.6,0,0,16.7,14.3,4.0,100.7,1003.0,0.0,5.4,0,11.1,27.3,7.4,40.0,4.0,1.97,3.19,46,0,0,0,0,0
RDG0000965,2021-04-12 10:00:00,2021,4,10,0,0,0,Spring,STN_URBAN_01,Urban,39.1,1,0,10.1,40.1,1.1,25.3,1028.0,1.0,8.7,0,15.5,32.1,58.6,10.2,56.7,4.01,0.86,58,0,0,0,0,0
RDG0003905,2022-02-27 12:00:00,2022,2,12,6,1,0,Winter,STN_URBAN_02,Urban,78.2,0,0,1.3,63.1,0.9,148.0,993.5,0.0,7.4,0,34.4,60.1,59.3,6.8,4.0,7.99,4.74,98,0,0,1,0,0
RDG0002864,2021-11-04 08:00:00,2021,11,8,3,0,1,Fall,STN_SUBURB_01,Suburban,91.0,0,0,1.1,100.0,0.3,36.8,1001.3,0.0,17.0,0,62.9,104.5,43.4,59.9,128.9,1.01,1.98,155,1,1,1,1,1
RDG0009270,2023-10-13 06:00:00,2023,10,6,4,0,0,Fall,STN_SUBURB_01,Suburban,77.2,0,0,22.0,60.3,1.7,212.6,1001.3,0.0,4.7,0,18.8,23.7,44.5,8.0,8.1,5.5,3.23,65,0,0,1,0,0
RDG0009018,2023-09-10 18:00:00,2023,9,18,6,1,1,Fall,STN_SUBURB_01,Suburban,69.7,0,0,19.2,60.8,6.2,257.8,1013.0,0.0,4.9,0,25.9,48.0,28.5,47.9,3.9,1.7,0.57,80,0,0,1,0,0
RDG0003244,2021-12-17 02:00:00,2021,12,2,4,0,0,Winter,STN_SUBURB_02,Suburban,6.7,0,0,-3.1,65.1,3.9,281.0,1020.2,0.0,5.5,0,14.3,27.8,27.1,47.2,28.1,2.02,4.98,56,0,0,1,0,0
RDG0005369,2022-08-01 12:00:00,2022,8,12,0,0,0,Summer,STN_SUBURB_01,Suburban,52.6,0,0,18.7,31.5,2.5,29.7,1020.9,0.0,9.3,0,13.4,24.6,173.9,31.4,12.9,4.0,3.27,54,0,0,1,1,0
RDG0004812,2022-06-03 10:00:00,2022,6,10,4,0,0,Summer,STN_SUBURB_01,Suburban,26.9,0,0,26.0,42.4,6.9,206.3,1010.5,0.0,10.8,0,6.9,7.2,71.1,31.0,1.7,0.93,3.82,29,0,0,0,0,0
RDG0002592,2021-10-06 06:00:00,2021,10,6,2,0,0,Fall,STN_SUBURB_01,Suburban,103.4,0,0,15.1,61.2,2.7,173.0,1017.2,0.0,14.5,0,22.2,39.4,28.6,19.2,4.9,1.38,3.71,72,0,0,1,0,0
RDG0000450,2021-02-19 10:00:00,2021,2,10,4,0,0,Winter,STN_SUBURB_02,Suburban,47.6,0,0,13.5,87.1,1.6,134.1,996.5,0.0,4.4,0,16.1,30.6,19.9,51.8,3.7,2.69,2.0,59,0,0,1,0,0
RDG0001658,2021-06-28 02:00:00,2021,6,2,0,0,0,Summer,STN_URBAN_02,Urban,46.5,0,0,19.7,80.7,6.8,225.4,1022.3,0.0,9.2,0,15.0,19.3,35.5,11.6,54.4,2.74,7.71,57,0,0,1,0,1
RDG0002303,2021-09-06 12:00:00,2021,9,12,0,0,0,Fall,STN_SUBURB_02,Suburban,41.6,0,0,4.7,52.7,0.5,268.8,1010.2,0.0,16.2,0,7.4,26.0,32.6,169.2,1.4,0.81,10.64,31,0,0,1,1,1
RDG0007323,2023-03-02 16:00:00,2023,3,16,3,0,1,Spring,STN_URBAN_01,Urban,92.4,1,0,18.4,67.5,7.3,48.8,1017.9,0.0,7.4,0,11.1,21.0,137.4,23.2,11.2,6.72,,46,0,0,1,1,0
RDG0006562,2022-12-09 07:00:00,2022,12,7,4,0,1,Winter,STN_RURAL_01,Rural,449.9,0,0,-0.9,57.9,2.3,210.4,1020.9,0.0,7.1,0,2.7,2.0,109.4,46.4,14.5,1.23,5.06,11,0,0,1,0,1
RDG0008872,2023-08-24 11:00:00,2023,8,11,3,0,0,Summer,STN_SUBURB_02,Suburban,6.8,0,0,30.5,44.7,7.0,65.8,999.4,2.0,11.7,0,27.9,42.2,2.5,65.5,11.7,4.31,,84,0,0,1,1,0
RDG0002948,2021-11-13 01:00:00,2021,11,1,5,1,0,Fall,STN_INDUSTRIAL_01,Industrial,38.5,1,1,16.5,100.0,2.2,233.4,1012.7,5.0,10.6,0,31.2,52.5,70.3,1.0,14.7,15.06,,91,0,1,1,0,1
RDG0005254,2022-07-19 13:00:00,2022,7,13,1,0,0,Summer,STN_SUBURB_02,Suburban,93.9,0,0,27.8,58.0,2.3,219.7,1019.4,0.0,6.2,0,39.2,73.8,21.9,63.7,17.5,5.49,0.98,110,1,0,1,1,0
RDG0004947,2022-06-18 13:00:00,2022,6,13,5,1,0,Summer,STN_SUBURB_01,Suburban,68.4,0,0,31.5,83.9,1.5,,,0.0,8.8,0,24.6,43.9,94.7,22.8,6.2,2.18,2.57,77,0,0,1,0,0
RDG0001175,2021-05-06 09:00:00,2021,5,9,3,0,1,Spring,STN_SUBURB_01,Suburban,119.7,0,0,9.4,63.6,3.9,311.7,1013.5,0.0,11.8,0,5.3,11.7,57.5,23.1,10.1,2.45,0.42,22,0,0,0,0,0
RDG0000251,2021-01-28 14:00:00,2021,1,14,3,0,0,Winter,STN_URBAN_02,Urban,31.6,0,0,-4.9,85.9,2.2,39.3,1011.3,0.0,5.1,0,126.4,215.1,18.9,58.1,94.5,9.18,3.88,188,1,1,1,1,0
RDG0003058,2021-11-26 13:00:00,2021,11,13,4,0,0,Fall,STN_RURAL_01,Rural,286.8,0,0,2.8,69.4,0.6,85.1,1006.0,0.0,30.0,0,4.0,5.6,17.4,20.0,3.4,2.88,,17,0,0,0,0,0
RDG0008600,2023-07-26 23:00:00,2023,7,23,2,0,0,Summer,STN_URBAN_02,Urban,59.4,0,0,14.8,69.9,2.3,185.7,1016.0,0.0,6.8,0,9.7,24.5,19.9,135.9,13.0,2.44,4.93,40,0,0,1,1,0
RDG0006537,2022-12-07 04:00:00,2022,12,4,2,0,0,Winter,STN_SUBURB_01,Suburban,45.1,0,0,7.3,96.2,1.3,192.3,1007.3,0.0,8.3,0,24.8,54.1,22.5,12.8,6.0,3.48,1.75,78,0,0,1,0,0
RDG0001765,2021-07-08 00:00:00,2021,7,0,3,0,0,Summer,STN_SUBURB_02,Suburban,114.0,0,0,22.1,64.3,4.9,229.9,1016.6,0.0,4.0,0,9.4,15.9,17.4,62.9,6.7,3.87,6.01,39,0,0,0,0,1
RDG0000653,2021-03-13 04:00:00,2021,3,4,5,1,0,Spring,STN_SUBURB_02,Suburban,18.5,0,0,6.7,62.0,16.5,25.1,1007.6,0.0,15.9,0,10.3,10.8,16.8,29.7,9.3,3.11,3.14,43,0,0,0,0,0
RDG0007981,2023-05-20 10:00:00,2023,5,10,5,1,0,Spring,STN_URBAN_01,Urban,32.8,1,0,17.7,61.3,2.7,340.6,1009.0,0.5,9.2,0,30.4,50.5,109.1,14.0,1.9,2.57,1.0,89,0,0,1,0,0
RDG0009140,2023-09-25 08:00:00,2023,9,8,0,0,1,Fall,STN_INDUSTRIAL_01,Industrial,31.9,1,1,13.3,55.2,1.7,,999.7,0.0,4.5,0,12.2,33.0,173.0,1.0,18.4,3.38,12.2,51,0,0,1,1,1
RDG0001078,2021-04-25 12:00:00,2021,4,12,6,1,0,Spring,STN_URBAN_01,Urban,17.2,1,0,1.9,67.1,3.2,316.8,1031.7,0.5,8.0,0,33.1,51.5,85.4,33.9,0.9,2.86,1.07,95,0,0,1,0,0
RDG0001408,2021-05-29 15:00:00,2021,5,15,5,1,0,Spring,STN_SUBURB_01,Suburban,56.3,0,0,13.7,36.5,2.4,345.3,1011.4,0.5,8.2,0,24.6,40.6,31.7,117.3,4.6,1.56,1.51,77,0,0,1,0,0
RDG0000039,2021-01-06 13:00:00,2021,1,13,2,0,0,Winter,STN_URBAN_01,Urban,57.5,1,0,-9.9,49.1,2.0,288.1,1009.4,0.0,4.1,0,55.4,98.9,42.7,71.0,6.6,5.14,0.7,150,1,0,1,1,0
RDG0002615,2021-10-09 11:00:00,2021,10,11,5,1,0,WINTER,STN_SUBURB_02,Suburban,72.9,0,0,14.3,31.2,18.1,98.2,1014.2,0.0,23.9,0,1.0,2.0,10.8,45.5,4.3,1.33,0.83,4,0,0,0,0,0
RDG0009900,2023-12-18 21:00:00,2023,12,21,0,0,0,Winter,STN_URBAN_02,Urban,106.8,0,0,4.3,73.4,0.7,290.2,1010.9,1.0,11.6,0,140.9,292.9,76.7,14.8,10.5,3.57,0.79,195,1,1,1,1,0
RDG0006847,2023-01-08 12:00:00,2023,1,12,6,1,0,Winter,STN_SUBURB_02,Suburban,111.3,0,0,-2.5,85.5,1.2,282.6,1013.5,0.5,3.9,0,61.5,100.4,49.4,36.8,14.8,1.48,2.79,154,0,1,1,1,0
RDG0007899,2023-05-08 21:00:00,2023,5,21,0,0,0,Spring,STN_SUBURB_01,Suburban,45.6,0,0,15.0,62.5,3.6,155.9,998.5,0.0,2.3,0,24.5,40.4,21.4,71.8,2.1,7.27,,77,0,0,1,0,1
RDG0005723,2022-09-08 17:00:00,2022,9,17,3,0,1,Fall,STN_URBAN_01,Urban,50.6,1,0,20.2,72.1,2.7,339.3,994.0,0.0,20.4,0,64.8,122.2,70.6,89.1,16.2,5.97,2.76,156,1,1,1,1,0
RDG0009030,2023-09-11 23:00:00,2023,9,23,0,0,0,Fall,STN_INDUSTRIAL_01,Industrial,18.7,1,1,26.5,63.3,2.7,275.1,1015.7,0.0,7.5,0,48.4,95.6,32.7,34.1,26.4,2.13,22.45,133,1,1,1,1,1
RDG0007747,2023-04-20 16:00:00,2023,4,16,3,0,1,Spring,STN_URBAN_02,Urban,55.5,0,0,9.8,52.4,5.9,345.3,1012.3,0.5,9.5,0,64.5,126.9,61.2,98.1,13.6,3.91,4.85,156,1,1,1,1,0
RDG0004633,2022-05-13 17:00:00,2022,5,17,4,0,1,Spring,STN_SUBURB_02,Suburban,47.4,0,0,9.5,86.6,1.7,294.5,1011.2,0.0,11.3,0,20.8,39.8,10.5,54.3,1.9,1.92,1.84,69,0,0,1,0,0
RDG0003955,2022-03-05 15:00:00,2022,3,15,5,1,0,Spring,STN_SUBURB_02,Suburban,109.5,0,0,7.3,46.3,6.6,298.3,1017.3,0.0,10.0,0,2.6,6.9,34.5,75.9,9.0,2.22,1.27,11,0,0,0,0,0
RDG0005501,2022-08-16 03:00:00,2022,8,3,1,0,0,Summer,STN_SUBURB_02,Suburban,70.6,0,0,28.0,66.0,0.5,326.6,1003.5,2.0,11.3,0,30.2,59.7,24.5,23.1,3.9,1.88,4.62,89,0,0,1,0,0
RDG0003933,2022-03-02 11:00:00,2022,3,11,2,0,0,Spring,STN_INDUSTRIAL_01,Industrial,12.2,1,1,8.9,65.3,7.6,15.4,1013.2,0.0,4.6,0,8.5,23.5,54.3,25.1,29.0,2.75,,35,1,0,0,0,0
RDG0006769,2023-01-01 04:00:00,2023,1,4,6,1,0,Winter,STN_SUBURB_02,Suburban,86.1,0,0,-3.0,96.7,6.5,242.9,1018.0,0.0,10.2,0,28.1,35.6,114.4,11.8,6.9,3.47,2.45,85,0,0,1,0,0
RDG0008630,2023-07-30 06:00:00,2023,7,6,6,1,0,Summer,STN_INDUSTRIAL_01,Industrial,10.1,1,1,16.7,33.7,2.3,271.5,1022.8,0.0,5.3,0,64.1,126.9,132.7,77.2,23.9,2.86,14.1,155,1,1,1,1,1
RDG0004265,2022-04-04 04:00:00,2022,4,4,0,0,0,Spring,STN_URBAN_02,Urban,79.0,0,0,12.2,43.1,3.5,32.6,1002.2,0.0,2.9,0,12.0,27.7,50.2,15.4,16.8,0.6,0.94,50,0,0,0,0,0
RDG0005652,2022-08-31 15:00:00,2022,8,15,2,0,0,Summer,STN_RURAL_01,Rural,237.3,0,0,25.8,66.1,2.6,250.9,1003.0,20.0,30.0,0,25.7,53.1,6.1,19.8,1.2,1.33,1.2,80,0,0,1,0,0
RDG0001190,2021-05-08 09:00:00,2021,5,9,5,1,1,Spring,STN_SUBURB_02,Suburban,20.9,0,0,11.3,84.6,14.6,222.2,1018.0,1.0,9.4,0,1.0,6.1,56.8,68.2,5.4,3.19,1.05,4,0,0,0,0,0
RDG0006149,2022-10-24 13:00:00,2022,10,13,0,0,0,Fall,STN_INDUSTRIAL_01,Industrial,20.7,1,1,2.3,49.8,0.9,333.5,1024.3,0.0,3.8,0,36.1,73.4,46.8,43.7,28.3,4.02,5.96,102,1,0,1,1,1
RDG0001147,2021-05-03 13:00:00,2021,5,13,0,0,0,Spring,STN_URBAN_02,Urban,108.3,0,0,9.3,29.7,1.8,217.7,1013.9,5.0,4.7,0,39.6,74.2,15.4,83.9,5.9,2.37,4.97,111,1,0,1,1,0
RDG0002758,2021-10-24 06:00:00,2021,10,6,6,1,0,Fall,STN_URBAN_02,Urban,33.0,0,0,12.6,54.1,0.9,165.5,1018.4,0.0,28.6,0,15.7,23.8,65.7,8.9,10.9,2.38,,59,0,0,1,0,0
