transaction_id,timestamp,hour_of_day,day_of_week,is_weekend,month,cardholder_age,account_age_days,credit_limit,merchant_category,merchant_country,is_foreign,transaction_amount,avg_7day_spend,num_txn_24h,num_txn_7d,days_since_last_txn,distinct_merchants_7d,declined_last_30d,channel,device_type,is_fraud
TXN0005594,2023-08-15 20:16:54,20,1,0,8,56,1118,15100.0,Entertainment,US,0,25.47,491.34,5,10,0.2,4,0,Online,Unknown,0
TXN0008310,2023-12-03 16:01:53,16,6,1,12,49,430,13600.0,Gas,US,0,646.9,192.76,0,11,1.2,7,0,Chip,Unknown,0
TXN0008740,2023-12-21 06:16:32,6,3,0,12,22,48,9600.0,Travel,US,0,43.82,238.67,4,9,2.7,4,0,Chip,Desktop,0
TXN0006941,2023-10-08 19:05:21,19,6,1,10,47,421,6400.0,Electronics,UK,1,74.33,1524.16,4,17,0.6,7,0,Chip,Desktop,0
TXN0001673,2023-03-12 16:20:52,16,6,1,3,29,753,21900.0,Electronics,MX,1,185.93,57.6,1,14,0.4,6,0,Chip,Desktop,0
TXN0006888,2023-10-07 01:08:09,1,5,1,10,27,204,3700.0,Travel,US,0,424.24,461.63,4,9,0.6,8,0,Chip,ATM,0
TXN0004632,2023-07-09 06:42:21,6,6,1,7,50,538,7600.0,Restaurant,UK,1,67.62,161.46,2,11,3.4,4,0,Chip,POS,0
TXN0001126,2023-02-16 03:35:21,3,3,0,2,27,724,12700.0,Online_Retail,US,0,205.35,117.73,2,12,0.3,6,0,Swipe,Mobile,0
TXN0001123,2023-02-15 23:00:00,23,2,0,2,45,40,22100.0,Entertainment,US,0,48.05,270.54,4,17,,7,0,ONLINE,Mobile,0
TXN0005230,2023-08-01 15:44:47,15,1,0,8,48,3536,7900.0,Restaurant,US,0,103.21,357.6,2,11,2.3,2,0,Swipe,Mobile,0
TXN0007549,2023-11-02 03:57:08,3,3,0,11,51,263,5800.0,Grocery,,0,47.34,2052.73,2,13,2.6,5,0,ATM,POS,0
TXN0006088,2023-09-04 05:36:26,5,0,0,9,50,1993,9000.0,Restaurant,MX,1,230.9,314.01,3,8,1.0,3,0,Swipe,Desktop,0
TXN0003095,2023-05-08 13:17:27,13,0,0,5,30,1107,5500.0,Restaurant,US,0,59.11,170.24,3,16,5.8,7,1,Swipe,Desktop,0
TXN0006532,2023-09-20 16:48:51,16,2,0,9,47,30,28600.0,Electronics,CN,1,213.63,138.44,5,11,2.8,4,2,Swipe,Unknown,0
TXN0004928,2023-07-20 03:56:33,3,3,0,7,54,354,20300.0,Online_Retail,US,0,61.96,409.33,0,13,2.2,7,0,Swipe,ATM,0
TXN0007657,2023-11-06 05:07:47,5,0,0,11,57,30,17600.0,Gas,,0,1006.67,398.85,4,11,1.7,5,2,Chip,Desktop,0
TXN0003919,2023-06-10 05:31:13,5,5,1,6,50,2237,17100.0,Travel,US,0,15.1,740.52,1,17,3.8,8,0,Swipe,Mobile,0
TXN0007503,2023-10-30 23:05:10,23,0,0,10,55,310,7000.0,Online_Retail,,1,241.03,667.0,1,11,1.2,4,0,Chip,Mobile,0
TXN0006046,2023-09-02 21:25:36,21,5,1,9,25,4025,6000.0,Online_Retail,US,0,73.2,667.84,2,12,1.0,9,1,Chip,Desktop,0
TXN0002580,2023-04-18 12:22:26,12,1,0,4,39,1225,7400.0,Online_Retail,US,0,74.0,442.17,3,7,1.0,3,0,Contactless,Desktop,0
TXN0001755,2023-03-15 07:01:04,7,2,0,3,25,30,13400.0,Travel,UK,1,120.43,685.96,1,15,,4,0,chip,ATM,0
TXN0002901,2023-05-01 11:48:51,11,0,0,5,58,49,3500.0,Electronics,US,0,66.16,72.62,2,9,,9,2,Online,POS,0
TXN0008255,2023-12-01 19:18:36,19,4,0,12,22,460,22700.0,Grocery,US,0,19.75,373.62,1,10,0.1,4,0,Contactless,POS,0
TXN0000925,2023-02-08 01:53:57,1,2,0,2,35,376,4500.0,Electronics,US,0,27.32,544.32,5,12,1.4,2,0,Online,ATM,0
TXN0007299,2023-10-23 07:21:04,7,0,0,10,47,776,13400.0,Travel,UK,1,117.78,1317.77,3,13,0.4,9,5,Online,Mobile,0
TXN0007016,2023-10-11 20:53:22,20,2,0,10,35,810,9300.0,Restaurant,US,0,66.29,222.07,1,8,6.1,5,1,Online,Desktop,0
TXN0007753,2023-11-09 12:14:14,12,3,0,11,52,620,10400.0,ATM,RO,1,325.52,235.16,4,8,1.0,8,0,Swipe,Unknown,0
TXN0002249,2023-04-05 14:06:52,14,2,0,4,62,696,6600.0,Travel,US,0,54.85,767.19,1,17,1.2,4,0,Online,Mobile,1
TXN0000359,2023-01-15 23:32:38,23,6,1,1,43,30,16400.0,Gas,US,0,25.43,729.41,3,14,,7,0,Chip,POS,0
TXN0007595,2023-11-03 18:44:25,18,4,0,11,66,1198,14100.0,ATM,US,0,19.98,,3,13,1.4,3,0,Swipe,Mobile,1
TXN0004978,2023-07-22 02:12:24,2,5,1,7,35,1987,13900.0,Restaurant,US,0,116.91,61.5,3,12,3.7,4,0,Swipe,Desktop,0
TXN0005335,2023-08-05 20:04:28,20,5,1,8,44,647,9500.0,Grocery,US,0,223.93,125.0,3,14,0.8,4,0,Chip,POS,0
TXN0005148,2023-07-28 11:39:50,11,4,0,7,40,443,26100.0,Restaurant,US,0,79.48,358.93,2,12,5.7,8,1,Contactless,Desktop,0
TXN0003554,2023-05-27 06:06:48,6,5,1,5,25,439,31100.0,ATM,US,0,100.68,458.58,3,11,1.7,3,0,Contactless,Desktop,0
TXN0007899,2023-11-16 17:31:31,17,3,0,11,55,153,14600.0,Restaurant,US,0,24.94,124.1,0,19,1.0,3,0,ATM,Mobile,0
TXN0002824,2023-04-29 00:17:57,0,5,1,4,42,573,5000.0,Travel,US,0,251.79,538.95,4,16,0.5,4,0,Swipe,Desktop,0
TXN0007386,2023-10-27 03:25:58,3,4,0,10,40,3140,21000.0,Healthcare,US,0,38.44,140.99,4,8,0.0,3,0,Chip,POS,0
TXN0005283,2023-08-03 23:28:31,23,3,0,8,43,188,21500.0,Restaurant,US,0,256.26,175.21,4,14,1.9,10,0,Chip,POS,0
TXN0001421,2023-03-01 07:42:17,7,2,0,3,41,2503,22900.0,Electronics,NG,1,33.0,193.45,2,9,3.1,6,0,ATM,Mobile,0
TXN0007920,2023-11-17 16:49:49,16,4,0,11,24,40,13100.0,Restaurant,RO,1,448.0,238.35,0,8,0.6,6,0,Contactless,POS,0
TXN0002726,2023-04-24 13:10:45,13,0,0,4,21,808,7800.0,Gas,US,0,72.17,431.76,2,12,4.2,2,0,Swipe,Desktop,0
TXN0000438,2023-01-18 20:06:25,20,2,0,1,26,69,5200.0,Online_Retail,UK,1,66.65,185.99,2,17,0.5,4,2,Online,Mobile,0
TXN0001182,2023-02-18 04:07:23,4,5,1,2,67,188,8400.0,Online_Retail,US,0,57.73,459.6,6,10,0.2,2,3,Online,UNKNOWN,0
TXN0005166,2023-07-29 14:30:21,14,5,1,7,27,270,27100.0,Grocery,US,0,34.2,197.67,2,13,0.1,4,2,Chip,Unknown,0
TXN0006801,2023-10-02 23:02:22,23,0,0,10,47,564,7200.0,Entertainment,US,0,4.42,161.32,2,14,2.5,4,0,swipe ,Mobile,0
TXN0004561,2023-07-06 03:45:13,3,3,0,7,60,39,16300.0,Online_Retail,US,0,275.97,,2,15,3.5,7,0,Swipe,Desktop,0
TXN0003430,2023-05-22 01:10:15,1,0,0,5,48,334,3600.0,Grocery,RO,1,22.54,621.32,2,15,1.3,3,0,ATM ,Mobile,0
TXN0001821,2023-03-18 13:01:58,13,5,1,3,37,107,15500.0,Gas,UK,1,52.34,270.14,4,9,2.5,3,1,Online,Desktop,0
TXN0000846,2023-02-05 00:14:58,0,6,1,2,56,78,13200.0,Electronics,US,0,62.76,128.29,4,15,0.4,3,0,Online,POS,0
TXN0000446,2023-01-19 07:26:19,7,3,0,1,41,2321,7900.0,Gas,UK,1,40.9,256.06,3,11,0.8,7,0,Swipe,POS,0
TXN0007728,2023-11-08 14:27:22,14,2,0,11,52,152,5500.0,Travel,US,0,11.63,325.63,3,14,0.1,4,0,Contactless,ATM,0
TXN0002267,2023-04-06 02:44:46,2,3,0,4,53,178,5000.0,Electronics,US,0,6.7,854.26,4,14,1.3,10,0,Online,Mobile,0
TXN0000111,2023-01-05 15:19:10,15,3,0,1,44,999,16800.0,Online_Retail,CA,1,183.48,1638.74,4,18,2.1,4,3,ATM,Desktop,0
TXN0006397,2023-09-15 17:49:10,17,4,0,9,46,469,2800.0,Grocery,,1,557.14,3121.56,2,9,2.2,4,2,Chip,Mobile,0
TXN0007953,2023-11-19 03:40:36,3,6,1,11,38,54,5800.0,Restaurant,US,0,451.02,390.83,0,16,3.8,3,0,Swipe,Desktop,0
TXN0008145,2023-11-27 04:50:21,4,0,0,11,36,2835,22500.0,Online_Retail,US,0,16.28,189.33,2,10,9.1,4,1,Online,POS,0
TXN0004629,2023-07-09 01:57:08,1,6,1,7,63,694,6400.0,Electronics,US,0,42.56,85.32,1,12,2.6,3,0,Contactless,POS,0
TXN0001722,2023-03-14 10:30:14,10,1,0,3,63,106,5100.0,Entertainment,US,0,34.84,122.09,3,18,2.7,6,0,Chip,Mobile,0
TXN0007339,2023-10-24 22:05:20,22,1,0,10,43,358,13900.0,Luxury,US,0,393.74,113.58,3,15,4.9,6,1,ATM,Mobile,0
TXN0000998,2023-02-10 20:56:18,20,4,0,2,31,624,15900.0,Luxury,US,0,51.13,442.77,4,15,2.0,6,2,Online,POS,1
TXN0001645,2023-03-11 09:30:28,9,5,1,3,29,851,4100.0,Grocery,US,0,32.24,,3,9,5.0,5,3,Chip,Desktop,0
TXN0007283,2023-10-22 22:49:14,22,6,1,10,58,164,28700.0,Grocery,NG,1,48.17,916.75,2,16,1.8,6,0,Chip,Unknown,0
TXN0004259,2023-06-23 14:44:54,14,4,0,6,52,1081,9700.0,Entertainment,US,0,57.6,129.01,3,12,5.1,1,1,Chip,ATM,0
TXN0008081,2023-11-24 19:10:43,19,4,0,11,27,449,8600.0,Electronics,US,0,382.6,426.49,0,8,4.6,2,0,Chip,ATM,0
TXN0001492,2023-03-04 07:29:01,7,5,1,3,36,761,24400.0,Online_Retail,US,0,212.06,232.99,4,10,0.4,2,0,Chip,POS,0
TXN0003691,2023-06-01 14:51:35,14,3,0,6,18,373,5200.0,Grocery,,0,98.91,287.4,2,11,3.6,6,0,Contactless,POS,0
TXN0004777,2023-07-15 01:22:12,1,5,1,7,25,161,9800.0,Gas,US,0,5.32,404.31,3,19,0.7,6,1,Online,Unknown,0
TXN0005904,2023-08-28 16:11:20,16,0,0,8,51,2079,11300.0,Luxury,US,0,4.59,142.23,5,6,1.1,3,2,Chip,POS,0
TXN0005502,2023-08-12 05:26:11,5,5,1,8,36,747,21400.0,Online_Retail,US,0,42.13,,0,17,0.6,6,0,Chip,POS,0
TXN0000405,2023-01-17 11:06:10,11,1,0,1,39,574,9500.0,Grocery,US,0,32.13,176.31,5,17,1.5,7,1,Chip,POS,0
TXN0001954,2023-03-24 02:04:21,2,4,0,3,52,971,10700.0,Grocery,US,0,292.85,853.07,3,12,1.3,3,0,Chip,Mobile,0
TXN0001339,2023-02-25 22:00:02,22,5,1,2,48,2337,17600.0,Grocery,UK,1,162.33,134.2,4,14,2.9,5,0,Swipe,Mobile,0
TXN0002305,2023-04-07 08:43:39,8,4,0,4,35,1463,19900.0,Grocery,CA,1,43.56,324.68,5,10,0.2,4,1,Swipe,Mobile,0
TXN0007889,2023-11-16 04:03:59,4,3,0,11,18,634,9000.0,Electronics,US,0,129.3,231.86,5,12,0.8,5,0,chip,Desktop,0
TXN0002002,2023-03-25 21:01:19,21,5,1,3,28,909,7500.0,Gas,US,0,57.89,149.2,6,13,3.1,5,0,Chip,Mobile,0
TXN0006084,2023-09-04 02:53:20,2,0,0,9,63,30,23600.0,Travel,US,0,16.42,,2,10,4.9,5,1,Chip,POS,0
TXN0007850,2023-11-13 23:37:52,23,0,0,11,46,855,6700.0,Restaurant,MX,1,17.65,192.08,1,14,2.3,6,1,Online,Mobile,0
TXN0008875,2023-12-26 03:31:40,3,1,0,12,41,274,11700.0,Online_Retail,UK,1,78.88,195.38,9,9,3.0,3,2,Chip,Mobile,0
TXN0001368,2023-02-27 01:07:50,1,0,0,2,28,342,5800.0,Online_Retail,NG,1,18.65,430.88,3,10,1.8,5,0,Online,Mobile,0
TXN0005946,2023-08-30 07:51:40,7,2,0,8,68,942,12700.0,Gas,BR,1,8.25,334.48,4,12,2.4,4,0,Online,Desktop,0
TXN0005768,2023-08-22 15:03:22,15,1,0,8,20,1398,12200.0,Grocery,US,0,121.8,598.22,2,16,0.6,5,3,Chip,POS,0
TXN0006648,2023-09-26 00:29:47,0,1,0,9,28,899,21800.0,Grocery,US,0,249.64,118.4,4,9,1.4,6,0,Online,Mobile,0
TXN0007379,2023-10-26 20:21:54,20,3,0,10,40,337,18300.0,Grocery,US,0,10.27,292.94,3,16,1.3,3,0,Contactless,Mobile,0
TXN0001484,2023-03-04 01:05:56,1,5,1,3,21,1947,35300.0,Restaurant,US,0,116.15,158.1,1,11,1.6,4,1,Online,Desktop,1
TXN0002667,2023-04-22 05:33:18,5,5,1,4,28,1081,10300.0,Online_Retail,US,0,615.79,221.18,2,9,3.2,3,0,Online,POS,0
TXN0004047,2023-06-15 04:32:58,4,3,0,6,37,673,12700.0,Travel,RO,1,8.94,66.25,1,15,5.3,4,1,Chip,Mobile,0
TXN0007959,2023-11-19 13:25:37,13,6,1,11,60,470,4700.0,Travel,US,0,52.02,412.88,1,10,1.6,5,0,Contactless,Desktop,0
TXN0004633,2023-07-09 07:58:24,7,6,1,7,28,280,8200.0,Grocery,US,0,116.16,493.01,6,14,1.8,1,0,Online,POS,0
TXN0000123,2023-01-05 23:49:55,23,3,0,1,34,375,5900.0,Online_Retail,US,0,22.15,249.33,4,14,10.1,2,1,Chip,Desktop,0
TXN0000712,2023-01-30 12:50:30,12,0,0,1,44,94,32400.0,Travel,US,0,35.56,,4,18,0.8,4,1,Chip,Mobile,0
TXN0005330,2023-08-05 18:29:54,18,5,1,8,31,286,6700.0,Travel,CN,1,165.61,142.31,2,19,3.5,6,0,Chip,Unknown,0
TXN0001403,2023-02-28 18:31:20,18,1,0,2,48,68,5400.0,Grocery,US,0,50.35,188.89,3,10,4.3,9,0,Swipe,POS,0
TXN0004095,2023-06-17 03:37:04,3,5,1,6,48,1705,3500.0,Travel,US,0,387.42,63.4,2,14,3.7,8,1,Contactless,Mobile,0
TXN0000726,2023-01-31 03:03:35,3,1,0,1,43,742,8800.0,Restaurant,MX,1,57.73,126.36,4,15,1.6,5,1,Chip,Mobile,1
TXN0006776,2023-10-01 19:33:41,19,6,1,10,51,1791,9000.0,Online_Retail,US,0,98.8,170.63,0,7,0.3,11,0,Contactless,Desktop,0
TXN0006143,2023-09-06 07:20:14,7,2,0,9,49,969,22900.0,Electronics,US,0,46.79,281.08,4,10,5.7,5,1,ATM,Mobile,0
TXN0008228,2023-11-30 21:58:44,21,3,0,11,49,1386,4700.0,Gas,US,0,32.12,39.84,3,10,1.6,6,0,Chip,Unknown,0
TXN0006586,2023-09-23 10:44:36,10,5,1,9,32,30,5900.0,Electronics,US,0,19.94,582.92,4,12,1.5,2,0,Online,Mobile,0
TXN0005996,2023-09-01 02:33:10,2,4,0,9,37,1940,8100.0,Grocery,US,0,155.9,230.78,1,10,6.4,4,2,Online,Desktop,0
TXN0004106,2023-06-17 13:13:44,13,5,1,6,56,1103,5800.0,Travel,US,0,52.81,356.1,2,24,1.6,9,3,Chip,Unknown,0
TXN0008203,2023-11-29 10:40:58,10,2,0,11,26,60,20200.0,Grocery,UK,1,196.14,451.53,6,9,2.8,2,1,Swipe,Mobile,0
TXN0003498,2023-05-25 00:03:47,0,3,0,5,18,158,6400.0,Travel,UK,1,23.47,259.0,3,5,1.2,9,2,Online,mobile,0
TXN0005561,2023-08-14 12:12:16,12,0,0,8,18,187,2300.0,Electronics,US,0,87.24,320.33,1,11,1.1,6,0,Online,Desktop,0
TXN0003544,2023-05-26 15:20:54,15,4,0,5,35,223,11400.0,Online_Retail,US,0,248.33,93.19,3,8,2.5,7,0,Swipe,ATM,0
TXN0001406,2023-02-28 21:25:09,21,1,0,2,38,309,2900.0,Online_Retail,US,0,24.92,138.36,3,16,0.2,1,0,Swipe,Mobile,0
TXN0006325,2023-09-12 15:22:52,15,1,0,9,47,573,10500.0,Grocery,US,0,16.44,629.94,2,17,1.4,5,0,ATM,Mobile,0
TXN0006160,2023-09-07 00:17:11,0,3,0,9,52,3123,14700.0,Entertainment,US,0,23.48,412.73,2,20,0.7,3,1,Contactless,POS,0
TXN0005977,2023-08-31 08:30:02,8,3,0,8,34,396,29500.0,Restaurant,US,0,21.44,366.84,2,11,0.7,7,1,ATM,POS,0
TXN0006150,2023-09-06 13:08:55,13,2,0,9,18,2479,12200.0,Restaurant,US,0,80.09,45.43,1,8,4.4,5,0,Chip,Desktop,0
TXN0003598,2023-05-28 20:08:12,20,6,1,5,66,1408,3100.0,Online_Retail,US,0,76.58,54.23,4,8,0.5,4,2,Online,Unknown,0
TXN0003077,2023-05-07 23:05:41,23,6,1,5,55,882,7300.0,Gas,US,0,238.76,69.17,1,6,0.2,9,0,Contactless,Mobile,0
TXN0007871,2023-11-14 19:34:20,19,1,0,11,36,799,12200.0,Restaurant,US,0,155.53,226.02,2,10,8.1,3,0,Chip,Mobile,0
TXN0001220,2023-02-19 23:32:05,23,6,1,2,18,837,5100.0,Online_Retail,CN,1,661.92,317.04,2,13,3.8,8,1,Chip,ATM,0
TXN0004399,2023-06-28 21:08:31,21,2,0,6,22,1279,4200.0,Grocery,US,0,67.52,202.59,4,15,0.4,3,0,Chip,Desktop,0
TXN0003396,2023-05-20 15:12:06,15,5,1,5,33,637,2400.0,Luxury,BR,1,140.16,200.93,0,15,0.1,3,0,Online,POS,0
TXN0000021,2023-01-01 17:27:29,17,6,1,1,33,1226,6400.0,Gas,US,0,33.41,270.87,4,16,2.7,4,0,Chip,POS,0
TXN0004907,2023-07-19 13:35:03,13,2,0,7,39,817,10800.0,Online_Retail,NG,1,135.07,57.69,1,10,0.7,2,3,Contactless,Mobile,0
TXN0002430,2023-04-11 23:03:46,23,1,0,4,43,1287,6200.0,ATM,US,0,31.44,,4,11,2.5,4,0,Chip,POS,0
TXN0005406,2023-08-08 13:24:02,13,1,0,8,30,389,15500.0,Grocery,US,0,42.92,94.26,3,8,0.9,5,0,Chip,Desktop,0
TXN0000634,2023-01-26 19:54:57,19,3,0,1,31,3508,19800.0,Healthcare,US,0,86.79,193.51,4,16,2.7,5,0,ATM,POS,0
TXN0000473,2023-01-20 14:06:33,14,4,0,1,36,296,10900.0,Restaurant,,0,57.48,600.38,2,10,4.0,6,0,Contactless,Mobile,0
TXN0006874,2023-10-06 12:04:24,12,4,0,10,38,242,23900.0,Restaurant,CA,1,23.76,143.31,1,11,7.3,7,1,Swipe,POS,0
TXN0000220,2023-01-10 00:40:55,0,1,0,1,41,684,7100.0,Online retail,US,0,95.02,100.78,2,16,3.5,7,0,Swipe,Desktop,0
TXN0006281,2023-09-11 11:18:13,11,0,0,9,66,792,4600.0,Grocery,US,0,52.2,279.84,6,8,7.5,3,1,Online,POS,0
TXN0006869,2023-10-06 05:11:19,5,4,0,10,18,2038,8500.0,Gas,UK,1,92.15,,2,9,5.0,4,2,Chip,Mobile,0
TXN0007684,2023-11-07 00:13:06,0,1,0,11,41,30,7900.0,Online_Retail,UK,1,406.25,167.07,5,9,0.1,4,0,Online,Mobile,0
TXN0005223,2023-08-01 03:23:34,3,1,0,8,38,1347,5200.0,Online_Retail,US,0,429.92,441.73,3,10,2.5,8,0,ATM,POS,0
TXN0000952,2023-02-09 02:41:12,2,3,0,2,35,165,19700.0,Online_Retail,US,0,62.15,160.21,2,15,2.2,5,0,Online,Unknown,0
TXN0008137,2023-11-26 23:39:04,23,6,1,11,70,5000,13200.0,ATM,BR,1,44.17,198.61,3,10,0.3,5,0,Contactless,Mobile,0
TXN0000812,2023-02-03 18:13:07,18,4,0,2,57,144,16500.0,Restaurant,US,0,25.73,473.7,3,12,0.4,2,0,Online,POS,0
TXN0008240,2023-12-01 04:04:14,4,4,0,12,39,249,10600.0,ATM,,0,36.94,227.18,2,17,0.7,7,0,Online,Desktop,0
TXN0003004,2023-05-05 05:48:01,5,4,0,5,41,740,5200.0,Online_Retail,US,0,122.99,365.17,3,12,0.9,7,2,Chip,POS,0
TXN0004571,2023-07-06 15:23:39,15,3,0,7,41,935,8800.0,Grocery,US,0,26.94,145.8,3,13,1.0,8,4,Chip,Mobile,0
TXN0005746,2023-08-21 17:50:10,17,0,0,8,52,74,15600.0,Grocery,US,0,39.23,974.85,1,9,0.5,4,1,Contactless,Desktop,0
TXN0006171,2023-09-07 11:54:48,11,3,0,9,27,212,2500.0,Restaurant,CA,1,6.38,267.95,1,16,3.7,6,0,Contactless,Mobile,0
