hour_of_day,day_of_week,is_weekend,month,cardholder_age,account_age_days,credit_limit,is_foreign,transaction_amount,avg_7day_spend,num_txn_24h,num_txn_7d,days_since_last_txn,distinct_merchants_7d,declined_last_30d,merchant_country_missing,days_since_last_missing,amount_to_limit_ratio,amount_vs_7day_avg,txn_velocity_ratio,merchant_concentration,is_late_night,is_business_hours,is_new_account,log_account_age,log_transaction_amount,foreign_online,new_account_high_amount,late_night_foreign,merchant_category,merchant_country,channel,device_type,is_fraud
19,4,0,3,47,1434,12800.0,1,15.22,116.31,2,13,0.0,1,0,0,0,0.0011890625,0.1308571919869315,1.0769230769230769,13.0,0,0,0,7.268920128193722,2.7862450486872667,1,0,0,Grocery,UK,Online,Unknown,0
15,0,0,10,23,190,34100.0,0,14.16,189.67,2,10,1.7,7,0,0,0,0.0004152492668621701,0.07465598144145094,1.4,1.4285714285714286,0,1,0,5.25227342804663,2.7186603802142257,0,0,0,Online_Retail,US,Swipe,POS,0
3,4,0,10,23,884,9400.0,1,24.25,103.47,4,11,7.6,4,1,0,0,0.002579787234042553,0.2343674495022712,2.5454545454545454,2.75,1,0,0,6.785587645007929,3.228826155721369,1,0,1,Gas,RO,Online,ATM,0
15,4,0,2,41,82,13000.0,0,73.94,296.35,4,16,2.1,8,2,0,0,0.005687692307692308,0.24950227771216466,1.75,2.0,0,1,1,4.418840607796598,4.316687793365541,0,0,0,Grocery,US,Swipe,Desktop,0
15,1,0,7,47,72,12500.0,0,34.51,141.59,3,6,2.7,5,1,0,0,0.0027608,0.24373190197047812,3.5,1.2,0,1,1,4.290459441148391,3.5698143469549963,0,0,0,Restaurant,US,Chip,POS,0
23,4,0,8,38,713,6600.0,0,41.67,371.5,3,11,12.5,6,1,0,0,0.006313636363636364,0.11216689098250338,1.9090909090909092,1.8333333333333333,0,0,0,6.570882962339584,3.7534960971999087,0,0,0,Grocery,US,Swipe,POS,0
10,2,0,6,41,655,4100.0,0,148.79,131.28,2,8,0.6,3,0,0,0,0.03629024390243902,1.1333790371724557,1.75,2.6666666666666665,0,1,0,6.486160788944089,5.009234313180627,0,0,0,Healthcare,US,Chip,POS,0
13,6,1,12,32,1580,6800.0,1,39.03,219.48,2,5,3.1,6,0,0,0,0.005739705882352941,0.17782941498086388,2.8,0.8333333333333334,0,1,0,7.365812837209472,3.6896291730044823,0,0,0,Online_Retail,NG,Chip,Mobile,0
8,5,1,1,42,939,17300.0,0,171.23,231.11,5,22,4.3,1,0,0,0,0.009897687861271676,0.7409026004932715,1.590909090909091,22.0,0,0,0,6.84587987526405,5.148830792847655,0,0,0,Grocery,US,Online,Unknown,0
3,0,0,2,45,362,24900.0,0,104.76,1288.37,2,13,3.7,8,1,0,0,0.004207228915662651,0.08131204545278144,1.0769230769230769,1.625,1,0,0,5.8944028342648505,4.6611723761033765,0,0,0,Online_Retail,US,Online,Mobile,0
8,2,0,4,35,136,5100.0,1,288.04,242.63,3,9,3.2,6,1,0,0,0.05647843137254902,1.1871574001566172,2.333333333333333,1.5,0,0,0,4.919980925828125,5.666565086839385,0,0,0,Healthcare,NG,Swipe,POS,0
17,0,0,8,37,30,12800.0,0,275.87,163.55,3,13,0.1,7,0,0,0,0.02155234375,1.6867624579639253,1.6153846153846154,1.8571428571428572,0,1,1,3.4339872044851463,5.623548081945595,0,0,0,Online_Retail,US,Chip,Mobile,0
3,3,0,4,22,271,18300.0,0,54.98,965.25,4,5,2.3,3,0,0,0,0.0030043715846994534,0.056959336959336956,5.6,1.6666666666666667,1,0,0,5.605802066295998,4.0249944840873075,0,0,0,Entertainment,US,Contactless,Desktop,0
10,3,0,11,57,94,24900.0,0,848.37,159.44,4,15,11.9,1,0,0,0,0.0340710843373494,5.320935775213247,1.8666666666666667,15.0,0,1,0,4.553876891600541,6.744494898206698,0,0,0,Gas,US,Chip,ATM,0
12,4,0,2,58,284,17400.0,1,140.84,198.9,0,6,1.1,8,5,0,0,0.008094252873563218,0.7080945198592258,0.0,0.75,0,1,0,5.652489180268651,4.954699661765953,1,0,0,Luxury,RO,Online,POS,0
9,0,0,1,64,5000,9100.0,0,150.99,91.87,2,10,5.2,6,3,0,0,0.016592307692307694,1.643518014585828,1.4,1.6666666666666667,0,1,0,8.517393171418904,5.02381472920837,0,0,0,Gas,US,ATM,Mobile,0
10,6,1,7,62,619,6400.0,1,9.4,490.8,7,12,0.3,3,0,0,0,0.00146875,0.01915240423797881,4.083333333333334,4.0,0,1,0,6.429719478039138,2.341805806147327,0,0,0,Online_Retail,CA,Swipe,POS,0
22,5,1,8,58,338,13500.0,1,330.77,107.65,2,11,1.0,6,1,0,0,0.02450148148148148,3.0726428239665577,1.2727272727272727,1.8333333333333333,0,0,0,5.82600010738045,5.804441957755378,0,0,0,Gas,RO,Chip,Mobile,0
13,2,0,1,71,135,5800.0,0,61.34,101.9,1,11,0.3,5,0,0,0,0.010575862068965517,0.6019627085377821,0.6363636363636364,2.2,0,1,0,4.912654885736052,4.132603274339191,0,0,0,Grocery,US,Chip,POS,0
10,3,0,2,36,2141,3200.0,0,65.32,344.0,3,10,0.0,9,1,0,0,0.020412499999999997,0.18988372093023254,2.1,1.1111111111111112,0,1,0,7.669495251007694,4.1944915108270395,0,0,0,Luxury,US,Swipe,Mobile,0
13,1,0,10,41,1804,4400.0,0,150.02,59.66,0,19,4.0,8,1,0,0,0.03409545454545455,2.5145826349312776,0.0,2.375,0,1,0,7.498315870766981,5.0174122783752795,0,0,0,Online_Retail,US,Contactless,Mobile,0
21,2,0,10,39,244,12800.0,0,71.17,164.71,1,18,1.5,5,0,0,0,0.00556015625,0.4320927691093437,0.38888888888888884,3.6,0,0,0,5.501258210544727,4.279024447084182,0,0,0,Restaurant,US,Chip,Unknown,0
20,1,0,8,56,1118,15100.0,0,25.47,491.34,5,10,0.2,4,0,0,0,0.001686754966887417,0.051837831237025275,3.5,2.5,0,0,0,7.020190708311925,3.27601201623901,0,0,0,Entertainment,US,Online,Unknown,0
16,6,1,12,49,430,13600.0,0,646.9,192.76,0,11,1.2,7,0,0,0,0.04756617647058824,3.355986719236356,0.0,1.5714285714285714,0,1,0,6.066108090103747,6.473736363455911,0,0,0,Gas,US,Chip,Unknown,0
6,3,0,12,22,48,9600.0,0,43.82,238.67,4,9,2.7,4,0,0,0,0.004564583333333334,0.18360078769849583,3.1111111111111107,2.25,0,0,1,3.8918202981106265,3.802654468372781,0,0,0,Travel,US,Chip,Desktop,0
19,6,1,10,47,421,6400.0,1,74.33,1524.16,4,17,0.6,7,0,0,0,0.0116140625,0.04876784589544404,1.647058823529412,2.4285714285714284,0,0,0,6.045005314036012,4.321878461837604,0,0,0,Electronics,UK,Chip,Desktop,0
16,6,1,3,29,753,21900.0,1,185.93,57.6,1,14,0.4,6,0,0,0,0.008489954337899544,3.227951388888889,0.5,2.3333333333333335,0,1,0,6.625392368007956,5.23073421522424,0,0,0,Electronics,MX,Chip,Desktop,0
1,5,1,10,27,204,3700.0,0,424.24,461.63,4,9,0.6,8,0,0,0,0.11465945945945946,0.9190043974611702,3.1111111111111107,1.125,1,0,0,5.3230099791384085,6.052653715420404,0,0,0,Travel,US,Chip,ATM,0
6,6,1,7,50,538,7600.0,1,67.62,161.46,2,11,3.4,4,0,0,0,0.008897368421052633,0.4188034188034188,1.2727272727272727,2.75,0,0,0,6.289715570908998,4.228584037430304,0,0,0,Restaurant,UK,Chip,POS,0
3,3,0,2,27,724,12700.0,0,205.35,117.73,2,12,0.3,6,0,0,0,0.016169291338582678,1.7442453070585235,1.1666666666666667,2.0,1,0,0,6.586171654854675,5.329573756198591,0,0,0,Online_Retail,US,Swipe,Mobile,0
23,2,0,2,45,40,22100.0,0,48.05,270.54,4,17,999.0,7,0,0,1,0.00217420814479638,0.17760774746802688,1.647058823529412,2.4285714285714284,0,0,1,3.713572066704308,3.892840186011372,0,0,0,Entertainment,US,Online,Mobile,0
15,1,0,8,48,3536,7900.0,0,103.21,357.6,2,11,2.3,2,0,0,0,0.013064556962025315,0.28861856823266213,1.2727272727272727,5.5,0,1,0,8.17103418920548,4.646408094004336,0,0,0,Restaurant,US,Swipe,Mobile,0
3,3,0,11,51,263,5800.0,0,47.34,2052.73,2,13,2.6,5,0,1,0,0.008162068965517242,0.023061971131127817,1.0769230769230769,2.6,1,0,0,5.575949103146316,3.878259375275337,0,0,0,Grocery,US,ATM,POS,0
5,0,0,9,50,1993,9000.0,1,230.9,314.01,3,8,1.0,3,0,0,0,0.025655555555555556,0.7353269004171842,2.625,2.6666666666666665,0,0,0,7.597897950521784,5.446306244261486,0,0,0,Restaurant,MX,Swipe,Desktop,0
13,0,0,5,30,1107,5500.0,0,59.11,170.24,3,16,5.8,7,1,0,0,0.010747272727272727,0.3472156954887218,1.3125,2.2857142857142856,0,1,0,7.010311867307229,4.09617621705107,0,0,0,Restaurant,US,Swipe,Desktop,0
16,2,0,9,47,30,28600.0,1,213.63,138.44,5,11,2.8,4,2,0,0,0.007469580419580419,1.5431233747471829,3.181818181818182,2.75,0,1,1,3.4339872044851463,5.368915615393574,0,0,0,Electronics,CN,Swipe,Unknown,0
3,3,0,7,54,354,20300.0,0,61.96,409.33,0,13,2.2,7,0,0,0,0.003052216748768473,0.15136931082500674,0.0,1.8571428571428572,1,0,0,5.872117789475416,4.1424996041091475,0,0,0,Online_Retail,US,Swipe,ATM,0
5,0,0,11,57,30,17600.0,0,1006.67,398.85,4,11,1.7,5,2,1,0,0.05719715909090909,2.523931302494672,2.5454545454545454,2.2,0,0,1,3.4339872044851463,6.91539601407809,0,0,0,Gas,US,Chip,Desktop,0
5,5,1,6,50,2237,17100.0,0,15.1,740.52,1,17,3.8,8,0,0,0,0.0008830409356725146,0.020391076540809162,0.411764705882353,2.125,0,0,0,7.71333788887187,2.7788192719904172,0,0,0,Travel,US,Swipe,Mobile,0
23,0,0,10,55,310,7000.0,1,241.03,667.0,1,11,1.2,4,0,1,0,0.03443285714285714,0.3613643178410795,0.6363636363636364,2.75,0,0,0,5.739792912179234,5.489061685415569,0,0,0,Online_Retail,US,Chip,Mobile,0
21,5,1,9,25,4025,6000.0,0,73.2,667.84,2,12,1.0,9,1,0,0,0.0122,0.10960709151892668,1.1666666666666667,1.3333333333333333,0,0,0,8.300528606199737,4.3067641501733345,0,0,0,Online_Retail,US,Chip,Desktop,0
12,1,0,4,39,1225,7400.0,0,74.0,442.17,3,7,1.0,3,0,0,0,0.01,0.1673564466155551,3.0,2.3333333333333335,0,1,0,7.111512116496157,4.31748811353631,0,0,0,Online_Retail,US,Contactless,Desktop,0
7,2,0,3,25,30,13400.0,1,120.43,685.96,1,15,999.0,4,0,0,1,0.008987313432835821,0.17556417283806636,0.4666666666666667,3.75,0,0,1,3.4339872044851463,4.799337965065727,0,0,0,Travel,UK,Chip,ATM,0
11,0,0,5,58,49,3500.0,0,66.16,72.62,2,9,999.0,9,2,0,1,0.01890285714285714,0.9110437895896446,1.5555555555555554,1.0,0,1,1,3.912023005428146,4.20707783220934,0,0,0,Electronics,US,Online,POS,0
19,4,0,12,22,460,22700.0,0,19.75,373.62,1,10,0.1,4,0,0,0,0.0008700440528634361,0.05286119586745892,0.7,2.5,0,0,0,6.133398042996649,3.0325462466767075,0,0,0,Grocery,US,Contactless,POS,0
1,2,0,2,35,376,4500.0,0,27.32,544.32,5,12,1.4,2,0,0,0,0.006071111111111111,0.05019106407995296,2.916666666666667,6.0,1,0,0,5.932245187448011,3.343568268825519,0,0,0,Electronics,US,Online,ATM,0
7,0,0,10,47,776,13400.0,1,117.78,1317.77,3,13,0.4,9,5,0,0,0.00878955223880597,0.08937826783126039,1.6153846153846154,1.4444444444444444,0,0,0,6.655440350367647,4.777273042587714,1,0,0,Travel,UK,Online,Mobile,0
20,2,0,10,35,810,9300.0,0,66.29,222.07,1,8,6.1,5,1,0,0,0.007127956989247312,0.2985094789931103,0.875,1.6,0,0,0,6.698268054115413,4.209011637200227,0,0,0,Restaurant,US,Online,Desktop,0
12,3,0,11,52,620,10400.0,1,325.52,235.16,4,8,1.0,8,0,0,0,0.0313,1.3842490219425072,3.5,1.0,0,1,0,6.431331081933479,5.788491202583155,0,0,0,ATM,RO,Swipe,Unknown,0
14,2,0,4,62,696,6600.0,0,54.85,767.19,1,17,1.2,4,0,0,0,0.00831060606060606,0.0714946753737666,0.411764705882353,4.25,0,1,0,6.546785410760524,4.02266952551521,0,0,0,Travel,US,Online,Mobile,1
23,6,1,1,43,30,16400.0,0,25.43,729.41,3,14,999.0,7,0,0,1,0.001550609756097561,0.03486379402530813,1.5,2.0,0,0,1,3.4339872044851463,3.2744997286161976,0,0,0,Gas,US,Chip,POS,0
18,4,0,11,66,1198,14100.0,0,19.98,237.24,3,13,1.4,3,0,0,0,0.0014170212765957447,0.08421851289833081,1.6153846153846154,4.333333333333333,0,0,0,7.089243155027514,3.043569602968151,0,0,0,ATM,US,Swipe,Mobile,1
2,5,1,7,35,1987,13900.0,0,116.91,61.5,3,12,3.7,4,0,0,0,0.008410791366906475,1.9009756097560975,1.75,3.0,1,0,0,7.59488438721652,4.769921621588582,0,0,0,Restaurant,US,Swipe,Desktop,0
20,5,1,8,44,647,9500.0,0,223.93,125.0,3,14,0.8,4,0,0,0,0.023571578947368423,1.7914400000000001,1.5,3.5,0,0,0,6.473890696352274,5.4157892426882075,0,0,0,Grocery,US,Chip,POS,0
11,4,0,7,40,443,26100.0,0,79.48,358.93,2,12,5.7,8,1,0,0,0.003045210727969349,0.22143593458334496,1.1666666666666667,1.5,0,1,0,6.095824562432225,4.388008706351429,0,0,0,Restaurant,US,Contactless,Desktop,0
6,5,1,5,25,439,31100.0,0,100.68,458.58,3,11,1.7,3,0,0,0,0.003237299035369775,0.21954729818134242,1.9090909090909092,3.6666666666666665,0,0,0,6.0867747269123065,4.621830626881199,0,0,0,ATM,US,Contactless,Desktop,0
17,3,0,11,55,153,14600.0,0,24.94,124.1,0,19,1.0,3,0,0,0,0.001708219178082192,0.2009669621273167,0.0,6.333333333333333,0,1,0,5.0369526024136295,3.255786178888298,0,0,0,Restaurant,US,ATM,Mobile,0
0,5,1,4,42,573,5000.0,0,251.79,538.95,4,16,0.5,4,0,0,0,0.050358,0.4671861953799053,1.75,4.0,1,0,0,6.352629396319567,5.532559104528279,0,0,0,Travel,US,Swipe,Desktop,0
3,4,0,10,40,3140,21000.0,0,38.44,140.99,4,8,0.0,3,0,0,0,0.0018304761904761903,0.2726434498900631,3.5,2.6666666666666665,1,0,0,8.052296499538647,3.6747805297344347,0,0,0,Healthcare,US,Chip,POS,0
23,3,0,8,43,188,21500.0,0,256.26,175.21,4,14,1.9,10,0,0,0,0.01191906976744186,1.4625877518406483,2.0,1.4,0,0,0,5.241747015059643,5.55008724665057,0,0,0,Restaurant,US,Chip,POS,0
7,2,0,3,41,2503,22900.0,1,33.0,193.45,2,9,3.1,6,0,0,0,0.001441048034934498,0.17058671491341432,1.5555555555555554,1.5,0,0,0,7.825644732219989,3.5263605246161616,0,0,0,Electronics,NG,ATM,Mobile,0
16,4,0,11,24,40,13100.0,1,448.0,238.35,0,8,0.6,6,0,0,0,0.03419847328244275,1.8795888399412628,0.0,1.3333333333333333,0,1,1,3.713572066704308,6.1070228877422545,0,0,0,Restaurant,RO,Contactless,POS,0
13,0,0,4,21,808,7800.0,0,72.17,431.76,2,12,4.2,2,0,0,0,0.009252564102564103,0.16715304798962388,1.1666666666666667,6.0,0,1,0,6.695798917058491,4.292785500895938,0,0,0,Gas,US,Swipe,Desktop,0
20,2,0,1,26,69,5200.0,1,66.65,185.99,2,17,0.5,4,2,0,0,0.012817307692307694,0.3583525996021292,0.823529411764706,4.25,0,0,1,4.248495242049359,4.214347354616797,1,0,0,Online_Retail,UK,Online,Mobile,0
4,5,1,2,67,188,8400.0,0,57.73,459.6,6,10,0.2,2,3,0,0,0.0068726190476190475,0.12560922541340294,4.2,5.0,1,0,0,5.241747015059643,4.072950669534428,0,0,0,Online_Retail,US,Online,Unknown,0
14,5,1,7,27,270,27100.0,0,34.2,197.67,2,13,0.1,4,2,0,0,0.0012619926199261993,0.17301563211412962,1.0769230769230769,3.25,0,1,0,5.602118820879701,3.5610460826040513,0,0,0,Grocery,US,Chip,Unknown,0
23,0,0,10,47,564,7200.0,0,4.42,161.32,2,14,2.5,4,0,0,0,0.0006138888888888889,0.027398958591619144,1.0,3.5,0,0,0,6.336825731146441,1.6900958154515549,0,0,0,Entertainment,US,Swipe,Mobile,0
3,3,0,7,60,39,16300.0,0,275.97,251.1,2,15,3.5,7,0,0,0,0.01693067484662577,1.0990442054958185,0.9333333333333333,2.142857142857143,1,0,1,3.6888794541139363,5.62390919707302,0,0,0,Online_Retail,US,Swipe,Desktop,0
1,0,0,5,48,334,3600.0,1,22.54,621.32,2,15,1.3,3,0,0,0,0.0062611111111111105,0.0362776025236593,0.9333333333333333,5.0,1,0,0,5.814130531825066,3.1587011018321305,0,0,1,Grocery,RO,ATM,Mobile,0
13,5,1,3,37,107,15500.0,1,52.34,270.14,4,9,2.5,3,1,0,0,0.0033767741935483873,0.19375138816909754,3.1111111111111107,3.0,0,1,0,4.68213122712422,3.9766865187538682,1,0,0,Gas,UK,Online,Desktop,0
0,6,1,2,56,78,13200.0,0,62.76,128.29,4,15,0.4,3,0,0,0,0.004754545454545454,0.48920414685478214,1.8666666666666667,5.0,1,0,1,4.3694478524670215,4.15512603448196,0,0,0,Electronics,US,Online,POS,0
7,3,0,1,41,2321,7900.0,1,40.9,256.06,3,11,0.8,7,0,0,0,0.005177215189873418,0.15972818870577207,1.9090909090909092,1.5714285714285714,0,0,0,7.7501841622578365,3.735285826928092,0,0,0,Gas,UK,Swipe,POS,0
14,2,0,11,52,152,5500.0,0,11.63,325.63,3,14,0.1,4,0,0,0,0.002114545454545455,0.03571538248932838,1.5,3.5,0,1,0,5.030437921392435,2.5360749363624,0,0,0,Travel,US,Contactless,ATM,0
2,3,0,4,53,178,5000.0,0,6.7,854.26,4,14,1.3,10,0,0,0,0.00134,0.007843045442839416,2.0,1.4,1,0,0,5.187385805840755,2.0412203288596382,0,0,0,Electronics,US,Online,Mobile,0
15,3,0,1,44,999,16800.0,1,183.48,1638.74,4,18,2.1,4,3,0,0,0.010921428571428572,0.11196406995618584,1.5555555555555554,4.5,0,1,0,6.907755278982137,5.217541056520749,0,0,0,Online_Retail,CA,ATM,Desktop,0
17,4,0,9,46,469,2800.0,1,557.14,3121.56,2,9,2.2,4,2,1,0,0.19897857142857142,0.17848127218442061,1.5555555555555554,2.25,0,1,0,6.152732694704104,6.324609826969506,0,0,0,Grocery,US,Chip,Mobile,0
3,6,1,11,38,54,5800.0,0,451.02,390.83,0,16,3.8,3,0,0,0,0.07776206896551724,1.1540055778727323,0.0,5.333333333333333,1,0,1,4.007333185232471,6.1137264266409375,0,0,0,Restaurant,US,Swipe,Desktop,0
4,0,0,11,36,2835,22500.0,0,16.28,189.33,2,10,9.1,4,1,0,0,0.0007235555555555556,0.08598742935615064,1.4,2.5,1,0,0,7.950149887652018,2.8495497633759097,0,0,0,Online_Retail,US,Online,POS,0
1,6,1,7,63,694,6400.0,0,42.56,85.32,1,12,2.6,3,0,0,0,0.0066500000000000005,0.4988279418659166,0.5833333333333334,4.0,1,0,0,6.543911845564792,3.77413929806476,0,0,0,Electronics,US,Contactless,POS,0
10,1,0,3,63,106,5100.0,0,34.84,122.09,3,18,2.7,6,0,0,0,0.006831372549019609,0.2853632566139733,1.1666666666666665,3.0,0,1,0,4.672828834461906,3.57906458810673,0,0,0,Entertainment,US,Chip,Mobile,0
22,1,0,10,43,358,13900.0,0,393.74,113.58,3,15,4.9,6,1,0,0,0.028326618705035972,3.4666314491988026,1.4000000000000001,2.5,0,0,0,5.883322388488279,5.978227320325962,0,0,0,Luxury,US,ATM,Mobile,0
20,4,0,2,31,624,15900.0,0,51.13,442.77,4,15,2.0,6,2,0,0,0.0032157232704402515,0.11547756171375659,1.8666666666666667,2.5,0,0,0,6.437751649736401,3.9537405987800147,0,0,0,Luxury,US,Online,POS,1
9,5,1,3,29,851,4100.0,0,32.24,245.385,3,9,5.0,5,3,0,0,0.007863414634146342,0.13138537400411598,2.333333333333333,1.8,0,1,0,6.747586526829315,3.5037539699872475,0,0,0,Grocery,US,Chip,Desktop,0
22,6,1,10,58,164,28700.0,1,48.17,916.75,2,16,1.8,6,0,0,0,0.001678397212543554,0.052544314153258796,0.875,2.6666666666666665,0,0,0,5.10594547390058,3.895283681423848,0,0,0,Grocery,NG,Chip,Unknown,0
14,4,0,6,52,1081,9700.0,0,57.6,129.01,3,12,5.1,1,1,0,0,0.005938144329896908,0.4464770172854818,1.75,12.0,0,1,0,6.9865664594064265,4.070734696582967,0,0,0,Entertainment,US,Chip,ATM,0
19,4,0,11,27,449,8600.0,0,382.6,426.49,0,8,4.6,2,0,0,0,0.04448837209302326,0.897090201411522,0.0,4.0,0,0,0,6.1092475827643655,5.949600343009283,0,0,0,Electronics,US,Chip,ATM,0
7,5,1,3,36,761,24400.0,0,212.06,232.99,4,10,0.4,2,0,0,0,0.008690983606557377,0.910167818361303,2.8,5.0,0,0,0,6.635946555686647,5.361573816183052,0,0,0,Online_Retail,US,Chip,POS,0
14,3,0,6,18,373,5200.0,0,98.91,287.4,2,11,3.6,6,0,1,0,0.019021153846153844,0.3441544885177453,1.2727272727272727,1.8333333333333333,0,1,0,5.924255797414532,4.604269780744927,0,0,0,Grocery,US,Contactless,POS,0
1,5,1,7,25,161,9800.0,0,5.32,404.31,3,19,0.7,6,1,0,0,0.0005428571428571429,0.013158220177586506,1.1052631578947367,3.1666666666666665,1,0,0,5.087596335232384,1.843719208158766,0,0,0,Gas,US,Online,Unknown,0
16,0,0,8,51,2079,11300.0,0,4.59,142.23,5,6,1.1,3,2,0,0,0.0004061946902654867,0.032271672642902344,5.833333333333334,2.0,0,1,0,7.640123172695364,1.7209792871670078,0,0,0,Luxury,US,Chip,POS,0
5,5,1,8,36,747,21400.0,0,42.13,251.1,0,17,0.6,6,0,0,0,0.001968691588785047,0.16778176025487854,0.0,2.8333333333333335,0,0,0,6.617402977974478,3.764218810659752,0,0,0,Online_Retail,US,Chip,POS,0
11,1,0,1,39,574,9500.0,0,32.13,176.31,5,17,1.5,7,1,0,0,0.003382105263157895,0.18223583460949466,2.058823529411765,2.4285714285714284,0,1,0,6.354370040797351,3.5004392163118045,0,0,0,Grocery,US,Chip,POS,0
