transaction_id,timestamp,hour_of_day,day_of_week,is_weekend,month,account_type,account_age_months,account_balance,customer_age,customer_segment,txn_type,txn_direction,txn_amount,counterparty_country,is_high_risk_country,is_cross_border,txn_count_7d,txn_count_30d,avg_txn_amount_30d,max_txn_amount_30d,unique_counterparties_30d,cross_border_ratio_30d,structuring_flag,prior_sar_count,kyc_risk_score
TXN0003916,2023-06-17 22:53:53,22,5,1,6,Student,25,123691.0,29,Retail,Bill Payment,Credit,434.02,NG,1,1,3,15,239.9,1379.21,4,0.28,0,0,2.0
TXN0001161,2023-03-14 09:15:14,9,1,0,3,Checking,27,37808.7,18,SME,Check,Credit,100.0,US,0,0,8,34,191.01,855.81,7,0.111,0,0,3.0
TXN0003309,2023-03-12 14:19:39,14,6,1,3,Checking,13,40689.97,38,Retail,Internal Transfer,Debit,22299.87,UK,0,1,4,20,2179.3379900925047,28588.3,8,0.9965360890518924,0,0,1.0
TXN0004531,2023-05-18 07:12:52,7,3,0,5,Checking,15,2406.07,18,Retail,POS Purchase,Credit,20.68,US,0,0,6,28,284.13,849.24,13,0.026,0,0,1.0
TXN0002679,2023-01-29 03:07:44,3,6,1,1,Savings,28,9103.99,50,Corporate,Direct Deposit,Credit,500.0,DE,0,1,9,35,139.99,320.59,11,0.144,0,0,1.0
TXN0000245,2023-01-05 18:22:29,18,3,0,1,Checking,35,3169.11,30,Retail,ACH,Credit,177.7,US,0,0,10,49,312.04,622.92,6,0.11,0,0,1.0
TXN0006821,2023-09-09 11:57:22,11,5,1,9,Business,11,5698.2,51,Corporate,POS Purchase,Debit,97.11,UK,0,1,3,14,723.01,1334.37,8,0.346,0,0,1.0
TXN0005941,2023-08-10 01:51:34,1,3,0,8,Checking,9,15272.98,63,Retail,POS Purchase,Credit,200.0,AE,1,1,8,38,547.21,1259.83,13,0.113,0,0,2.0
TXN0007572,2023-06-28 10:42:35,10,2,0,6,Checking,106,7497.91,43,SME,Bill Payment,Credit,296.59,US,0,0,9,32,125.67,641.96,10,0.207,0,0,3.0
TXN0003233,2023-07-03 18:45:22,18,0,0,7,Checking,16,61676.35,60,SME,Wire Transfer,Credit,248.4,US,0,0,4,15,173.97,725.8,7,0.309,0,0,2.0
TXN0002371,2023-11-12 10:30:26,10,6,1,11,Checking,7,38591.3,29,SME,POS Purchase,Credit,100.0,US,0,0,9,49,347.43,1653.51,10,0.052,0,0,1.0
TXN0002611,2023-07-13 23:20:33,23,3,0,7,Savings,31,2049.76,40,Retail,Direct Deposit,Debit,200.0,US,0,0,7,33,211.03,1111.77,7,0.157,0,0,3.0
TXN0006446,2023-06-28 06:29:02,6,2,0,6,Savings,37,69357.06,29,Retail,ATM Withdrawal,Credit,14641.44,DE,0,1,5,27,494.18,1839.99,5,0.393,0,0,3.0
TXN0001894,2023-08-04 22:21:53,22,4,0,8,Student,21,20552.75,34,SME,Bill Payment,Credit,195.16,US,0,0,8,37,581.05,3451.69,8,0.033,0,0,5.0
TXN0007705,2023-08-16 11:10:26,11,2,0,8,Savings,57,43764.49,33,Retail,Wire Transfer,Debit,800.0,US,0,0,8,34,341.98,1915.06,7,0.259,0,0,4.0
TXN0000165,2023-05-05 20:19:22,20,4,0,5,Business,7,10456.42,61,Retail,ATM Withdrawal,Credit,2096.45,,0,0,4,19,151.43,671.7,5,0.146,0,0,2.0
TXN0005224,2023-03-21 05:58:56,5,1,0,3,Checking,32,22109.66,73,Student,Wire Transfer,Debit,240.58,AE,1,1,5,25,559.53,2557.05,9,0.031,0,0,4.0
TXN0002488,2023-03-02 18:46:23,18,3,0,3,Checking,4,20763.5,40,Student,POS Purchase,Credit,1678.66,US,0,0,8,39,199.52,311.84,8,0.031,0,0,1.0
TXN0002159,2023-04-15 10:14:01,10,5,1,4,Checking,11,9963.78,18,SME,Bill Payment,Debit,50.24,US,0,0,6,24,1012.5,5527.94,4,0.048,0,0,5.0
TXN0003965,2023-10-21 06:11:06,6,5,1,10,Student,27,2102.41,25,SME,Internal Transfer,Debit,4219.71,US,0,0,8,35,285.84,1451.98,4,0.236,0,0,3.0
TXN0005516,2023-03-10 02:20:05,2,4,0,3,Business,13,20751.08,32,Retail,Bill Payment,Debit,1433.1,US,0,0,5,18,129.3,342.5,9,0.019,0,0,2.0
TXN0002545,2023-05-04 07:56:53,7,3,0,5,Business,35,23395.72,49,Retail,Direct Deposit,Credit,1492.2,,0,0,4,18,290.2,1381.27,5,0.147,0,0,1.0
TXN0002645,2023-02-07 22:32:01,22,1,0,2,Business,1,9192.36,25,SME,Direct Deposit,Credit,282.64,SG,0,1,8,43,,453.4,9,0.409,0,0,4.0
TXN0002317,2023-10-26 13:34:58,13,3,0,10,Savings,58,10421.68,32,Student,Direct Deposit,Debit,100.0,KY,1,1,7,30,188.19,889.62,3,0.04,0,0,2.0
TXN0003203,2023-10-22 17:45:03,17,6,1,10,Checking,40,4590.13,45,SME,ACH,Debit,1292.49,US,0,0,4,21,114.35,397.12,5,0.138,0,1,1.0
TXN0000674,2023-12-13 01:20:34,1,2,0,12,Checking,18,17081.08,54,Retail,Direct Deposit,Debit,1100.0,US,0,0,8,33,818.96,2493.27,4,0.061,0,0,1.0
TXN0001181,2023-06-05 02:03:10,2,0,0,6,Student,17,19088.42,52,Corporate,Direct Deposit,Credit,2964.76,US,0,0,7,27,87.32,436.17,5,0.013,0,0,2.0
TXN0003321,2023-11-25 04:13:36,4,5,1,11,Checking,41,22160.4,35,SME,Direct Deposit,Debit,0.0,RU,1,1,7,27,389.77,821.54,6,0.303,0,0,3.0
TXN0000647,2023-07-25 13:17:24,13,1,0,7,Student,21,1454.12,40,Retail,Bill Payment,Credit,180.45,US,0,0,6,22,125.84,228.21,6,0.039,0,0,2.0
TXN0005924,2023-02-07 23:42:56,23,1,0,2,Savings,32,37893.99,28,Corporate,Bill Payment,Credit,300.0,SG,0,1,10,50,291.31,1078.67,6,0.071,0,0,2.0
TXN0006892,2023-01-14 03:09:56,3,5,1,1,Savings,2,14475.34,26,Student,ACH,Debit,100.0,US,0,0,5,19,22.89,51.37,9,0.094,0,0,2.0
TXN0003715,2023-02-13 18:48:37,18,0,0,2,Business,5,38592.45,50,SME,ACH,Credit,14826.42,CA,0,1,9,42,1649.9409234367301,18083.81,12,0.8731431522008108,0,0,2.0
TXN0002733,2023-03-22 11:43:11,11,2,0,3,Checking,25,23014.07,18,Corporate,bill payment,Credit,4100.0,US,0,0,5,23,355.29,1090.72,10,0.236,0,0,3.0
TXN0007259,2023-07-11 04:33:04,4,1,0,7,Checking,3,27689.25,23,Retail,ATM Withdrawal,Debit,67.46,US,0,0,6,25,156.61,350.99,11,0.054,0,0,3.0
TXN0006102,2023-06-05 08:27:41,8,0,0,6,Business,22,25386.07,51,Retail,Wire Transfer,Credit,282.48,US,0,0,12,56,1227.01,7215.89,4,0.114,0,0,1.0
TXN0005593,2023-01-28 09:48:47,9,5,1,1,Business,13,11804.0,39,Wealth,Bill Payment,Credit,256.75,US,0,0,3,13,498.68,2276.08,4,0.277,0,0,1.0
TXN0005793,2023-10-15 00:56:03,0,6,1,10,Savings,130,20354.99,33,SME,Wire Transfer,Debit,111.38,DE,0,1,6,24,285.16,1070.33,7,0.061,0,0,2.0
TXN0002060,2023-04-06 18:50:35,18,3,0,4,Savings,37,5822.97,47,Retail,ACH,Debit,331.0,UK,0,1,6,32,818.71,4489.32,9,0.299,0,0,2.0
TXN0007254,2023-07-06 11:23:35,11,3,0,7,Savings,119,14265.41,39,SME,Direct Deposit,Debit,99.81,US,0,0,8,32,301.87,1805.76,7,0.059,0,0,1.0
TXN0006289,2023-01-22 08:31:27,8,6,1,1,Checking,29,4602.28,55,Retail,Bill Payment,Credit,113.79,US,0,0,9,34,282.48,883.28,10,0.025,0,0,4.0
TXN0006317,2023-07-04 00:52:23,0,1,0,7,Checking,55,6634.52,30,Wealth,Wire Transfer,Credit,100.0,CA,0,1,7,34,175.88,753.52,8,0.094,0,0,4.0
TXN0000408,2023-08-22 15:39:26,15,1,0,8,Business,7,42508.71,40,Retail,ACH,Debit,12.18,US,0,0,6,29,512.86,1832.31,8,0.385,0,0,3.0
TXN0002981,2023-01-25 22:17:19,22,2,0,1,Checking,62,5777.84,33,Retail,Wire Transfer,Credit,2300.0,US,0,0,9,40,299.37,1748.64,4,0.005,0,0,
TXN0000130,2023-03-20 17:23:28,17,0,0,3,Business,65,27484.08,31,Student,ACH,Debit,795.6,US,0,0,7,30,102.42,424.19,7,0.024,0,0,2.0
TXN0007255,2023-02-25 10:27:35,10,5,1,2,Savings,17,33632.91,46,Student,Check,Debit,700.0,US,0,0,8,35,223.91,454.53,14,0.134,0,0,2.0
TXN0006013,2023-11-05 02:25:47,2,6,1,11,Business,41,16239.01,46,Retail,wire transfer,Debit,1994.92,DE,0,1,4,15,1082.78,5041.8,7,0.192,0,1,2.0
TXN0004606,2023-08-09 06:28:54,6,2,0,8,Savings,4,4397.97,19,SME,Direct Deposit,Debit,164.95,US,0,0,11,57,157.38,684.03,10,0.224,0,0,1.0
TXN0006441,2023-12-25 13:47:27,13,0,0,12,Business,18,4910.36,49,Corporate,Internal Transfer,Credit,172.56,US,0,0,2,8,241.34,960.45,15,0.221,0,0,2.0
TXN0001902,2023-05-03 03:24:47,3,2,0,5,Savings,14,37879.36,41,SME,Bill Payment,Credit,227.61,US,0,0,11,54,422.3,1421.22,6,0.193,0,0,5.0
TXN0002684,2023-10-23 13:28:23,13,0,0,10,Checking,6,28724.98,45,SME,Direct Deposit,Debit,102.15,US,0,0,7,32,161.27,805.04,9,0.004,0,0,5.0
TXN0001876,2023-06-26 23:34:52,23,0,0,6,Checking,20,21915.93,49,SME,Direct Deposit,Debit,136.9,NG,1,1,5,25,261.92,1263.65,4,0.178,0,0,1.0
TXN0004687,2023-07-16 04:27:16,4,6,1,7,Savings,12,16919.6,51,Student,Check,Credit,159.57,DE,0,1,3,11,390.69,723.2,11,0.263,0,0,3.0
TXN0000369,2023-07-21 09:51:47,9,4,0,7,Checking,73,4545.36,33,Wealth,Wire Transfer,Credit,130.82,US,0,0,6,29,822.93,2109.45,10,0.134,0,0,4.0
TXN0004833,2023-10-13 10:34:48,10,4,0,10,Student,22,37403.31,62,Wealth,Bill Payment,Credit,882.33,US,0,0,7,31,40.37,134.65,5,0.177,0,0,4.0
TXN0006080,2023-08-02 03:45:27,3,2,0,8,Checking,7,12708.91,38,Retail,Wire Transfer,Debit,3837.77,SG,0,1,3,11,183.25,708.38,7,0.208,0,3,2.0
TXN0007790,2023-03-22 16:20:02,16,2,0,3,Checking,225,70244.58,23,Retail,Direct Deposit,Debit,9600.0,US,0,0,1,4,269.12,1161.68,7,0.071,1,0,1.0
TXN0007225,2023-08-26 01:24:48,1,5,1,8,Checking,42,12968.11,47,Retail,POS Purchase,Debit,2200.0,DE,0,1,5,25,179.96,1043.61,7,0.174,0,0,1.0
TXN0000930,2023-06-27 13:48:13,13,1,0,6,Checking,12,3157.84,37,Retail,Direct Deposit,Debit,0.0,US,0,0,5,25,298.02,965.92,5,0.141,0,0,2.0
TXN0003146,2023-06-17 15:18:41,15,5,1,6,Savings,35,88372.46,18,Retail,ATM Withdrawal,Credit,55.77,US,0,0,7,32,498.68,845.98,11,0.521,0,0,1.0
TXN0006078,2023-06-09 05:09:26,5,4,0,6,Business,93,38350.39,42,Student,ACH,Debit,202.47,US,0,0,5,19,517.46,891.02,8,0.006,0,0,4.0
TXN0000907,2023-10-30 14:01:19,14,0,0,10,Savings,67,17043.03,46,Retail,ATM Withdrawal,Debit,1721.91,US,0,0,5,26,231.09,1305.58,8,0.217,0,0,1.0
TXN0000407,2023-09-24 00:39:18,0,6,1,9,Student,1,39829.74,47,Retail,Wire Transfer,Debit,35.2,CA,0,1,10,37,,149.26,6,0.479,0,0,3.0
TXN0002339,2023-01-04 05:07:01,5,2,0,1,Student,70,37728.72,62,Retail,ACH,Debit,74.22,US,0,0,6,27,40.76,115.31,10,0.035,0,0,2.0
TXN0002165,2023-05-24 15:47:30,15,2,0,5,Business,22,4343.26,31,Retail,ACH,Debit,236.7,US,0,0,2,8,313.84,836.63,6,0.237,0,0,2.0
TXN0007618,2023-01-30 17:16:46,17,0,0,1,Checking,35,9387.93,43,Retail,POS Purchase,Debit,400.0,NG,1,1,7,26,739.69,2809.87,3,0.019,0,0,1.0
TXN0004622,2023-01-17 12:33:56,12,1,0,1,Business,60,264.62,36,SME,ATM Withdrawal,Debit,667.2,CA,0,1,10,43,188.46,1054.01,5,0.133,0,0,2.0
TXN0001786,2023-01-27 20:59:18,20,4,0,1,Savings,23,1791.58,63,Student,Bill Payment,Credit,0.0,US,0,0,9,49,311.41,1725.16,7,0.26,0,0,2.0
TXN0000237,2023-07-26 05:54:27,5,2,0,7,Savings,52,177829.18,30,SME,Bill Payment,Credit,30.56,US,0,0,7,34,298.56,1114.45,11,0.124,0,0,1.0
TXN0006635,2023-10-23 13:45:37,13,0,0,10,premium,43,23401.32,35,Retail,ACH,Credit,39.08,CA,0,1,55,27,60.52,97.21,62,0.009,0,0,4.0
TXN0002114,2023-04-15 01:06:51,1,5,1,4,Checking,74,17939.07,30,SME,POS Purchase,Credit,2000.07,US,0,0,4,20,371.86,1194.57,6,0.334,0,0,2.0
TXN0005523,2023-11-22 13:55:39,13,2,0,11,Savings,10,15400.08,43,SME,Direct Deposit,Credit,13.49,,0,0,5,25,517.99,1468.13,7,0.065,0,2,3.0
TXN0000252,2023-03-05 15:28:00,15,6,1,3,Premium,15,100094.17,41,Corporate,POS Purchase,Credit,1107.91,US,0,0,4,15,51.64,138.29,14,0.059,0,0,1.0
TXN0004024,2023-08-21 00:43:18,0,0,0,8,Premium,47,8708.34,35,Corporate,Direct Deposit,Debit,1000.01,DE,0,1,7,26,267.5,1114.52,9,0.356,0,1,
TXN0000126,2023-07-05 00:06:21,0,2,0,7,Business,1,16067.18,26,Retail,POS Purchase,Credit,400.0,US,0,0,4,17,,734.08,10,0.115,0,0,2.0
TXN0000602,2023-09-20 08:05:52,8,2,0,9,Checking,26,31963.38,69,Retail,Wire Transfer,Debit,400.0,AE,1,1,8,41,214.22,453.02,6,0.094,0,0,2.0
TXN0001586,2023-12-06 05:19:56,5,2,0,12,Savings,22,787.3,31,Corporate,ACH,Credit,2872.73,US,0,0,7,29,326.04,897.02,5,0.049,0,0,4.0
TXN0007461,2023-01-01 19:13:55,19,6,1,1,Checking,14,157454.31,43,Corporate,Bill Payment,Debit,351.65,US,0,0,3,11,865.37,5118.46,7,0.305,0,0,
TXN0007520,2023-11-16 06:41:36,6,3,0,11,Savings,64,8320.62,42,Wealth,Internal Transfer,Credit,49.03,US,0,0,45,43,49.83,225.41,77,0.058,0,0,4.0
TXN0003075,2023-07-11 01:43:40,1,1,0,7,Checking,3,5767.01,44,Student,ACH,Credit,90.43,US,0,0,4,21,118.65,238.31,11,0.032,0,0,2.0
TXN0005413,2023-02-23 09:04:02,9,3,0,2,Checking,51,8551.09,53,Retail,ATM Withdrawal,Debit,629.3,US,0,0,6,27,481.43,2208.05,4,0.025,0,0,1.0
TXN0003554,2023-04-19 00:21:53,0,2,0,4,Savings,21,40819.99,42,SME,Internal Transfer,Debit,145.0,US,0,0,4,14,2895.73,7710.99,13,0.224,0,0,1.0
TXN0003844,2023-09-14 08:39:34,8,3,0,9,Checking,6,1105.06,58,SME,Bill Payment,Credit,1596.03,US,0,0,5,21,85.05,295.13,7,0.068,0,0,1.0
TXN0004102,2023-12-26 13:48:16,13,1,0,12,Savings,37,7914.91,48,Student,POS Purchase,Credit,1194.32,CA,0,1,5,22,134.15,723.57,8,0.081,0,0,5.0
TXN0007293,2023-08-10 12:22:17,12,3,0,8,Checking,38,2051.16,28,Retail,ACH,Debit,465.78,AE,1,1,2,11,337.71,1596.85,10,0.274,0,0,3.0
TXN0004447,2023-02-18 08:02:04,8,5,1,2,Savings,132,12065.07,36,Corporate,ACH,Debit,15415.48,US,0,0,8,43,123.0,250.13,7,0.031,0,0,1.0
TXN0004705,2023-11-24 07:50:40,7,4,0,11,Savings,18,163472.55,31,Wealth,ATM Withdrawal,Debit,1935.82,US,0,0,4,16,60.32,269.05,10,0.109,0,0,3.0
TXN0002126,2023-04-23 16:44:59,16,6,1,4,Checking,19,19378.28,28,Corporate,Bill Payment,Debit,0.0,US,0,0,5,26,196.07,359.96,11,0.046,0,0,1.0
TXN0001966,2023-06-02 22:48:52,22,4,0,6,Savings,14,48159.8,33,SME,POS Purchase,Debit,5300.0,US,0,0,7,30,1050.07,6029.19,10,0.004,0,0,2.0
TXN0002355,2023-08-05 15:06:56,15,5,1,8,Savings,5,5846.64,48,Wealth,POS Purchase,Credit,94.4,US,0,0,3,16,1232.2,6338.17,11,0.37,0,0,5.0
TXN0002248,2023-04-16 14:05:06,14,6,1,4,Checking,5,2310.87,57,Retail,POS Purchase,Credit,6785.05,US,0,0,5,22,587.47,3247.7,17,0.261,0,0,2.0
TXN0006242,2023-07-05 15:47:37,15,2,0,7,Checking,85,6219.4,18,Student,Bill Payment,Debit,822.9,US,0,0,7,29,279.38,701.4,11,0.081,0,0,1.0
TXN0003779,2023-08-18 04:39:58,4,4,0,8,Checking,72,17511.51,48,Wealth,Bill Payment,Credit,110.03,US,0,0,2,10,420.68,1442.19,9,0.072,0,0,5.0
TXN0005564,2023-04-04 12:28:16,12,1,0,4,Business,40,2704.2,18,Retail,Direct Deposit,Debit,100.0,US,0,0,11,57,462.71,2387.17,8,0.029,0,0,2.0
TXN0003305,2023-11-24 08:06:27,8,4,0,11,Premium,2,34816.63,21,SME,Direct Deposit,Debit,205.05,US,0,0,3,16,1388.53,8104.34,14,0.069,0,0,2.0
TXN0005061,2023-03-25 15:11:28,15,5,1,3,Savings,40,11090.79,44,SME,Bill Payment,Debit,265.87,US,0,0,5,19,211.81,468.66,7,0.373,0,0,1.0
TXN0000171,2023-02-19 19:20:56,19,6,1,2,Checking,23,169211.2,39,SME,Internal Transfer,Credit,500.0,US,0,0,4,17,1104.94,1690.71,11,0.251,0,0,4.0
TXN0006148,2023-09-25 08:46:40,8,0,0,9,Student,7,3276.96,23,Retail,Wire Transfer,Debit,117.26,US,0,0,8,35,572.77,3343.1,11,0.104,0,0,1.0
TXN0003861,2023-02-01 00:39:32,0,2,0,2,Student,12,85199.76,50,Wealth,POS Purchase,Credit,3331.12,US,0,0,6,31,199.76,843.43,9,0.41,0,0,5.0
TXN0003999,2023-04-25 06:42:25,6,1,0,4,Checking,63,538.47,23,Corporate,ACH,Debit,675.58,SG,0,1,6,26,516.74,1562.87,6,0.238,0,1,2.0
TXN0006107,2023-01-25 03:27:59,3,2,0,1,Business,7,6097.28,46,SME,ACH,Debit,178.93,DE,0,1,5,23,549.95,1635.28,9,0.273,0,0,1.0
TXN0004798,2023-03-16 08:12:15,8,3,0,3,Checking,97,12997.83,33,Retail,Direct Deposit,Debit,540.33,UK,0,1,6,31,118.13,370.72,3,0.143,0,0,1.0
TXN0003748,2023-07-18 11:57:36,11,1,0,7,Savings,57,8141.65,41,Retail,Wire Transfer,Credit,9194.68,US,0,0,3,12,170.38,282.59,7,0.068,1,0,2.0
TXN0000316,2023-01-22 19:19:17,19,6,1,1,Savings,23,14334.28,54,Retail,Bill Payment,Credit,473.1,UK,0,1,7,25,387.94,867.95,5,0.252,0,0,1.0
TXN0005430,2023-06-17 07:16:59,7,5,1,6,Savings,11,15676.89,45,SME,ACH,Debit,85.46,US,0,0,4,18,272.73,1570.37,13,0.384,0,0,2.0
TXN0007701,2023-01-20 20:27:47,20,4,0,1,Student,48,5761.6,40,Student,Direct Deposit,Credit,179.71,SG,0,1,5,23,91.38,469.7,11,0.216,0,0,3.0
TXN0000677,2023-06-29 15:04:20,15,3,0,6,Premium,40,40814.36,18,Retail,POS Purchase,Debit,1932.25,UK,0,1,11,53,80.18,350.53,4,0.228,0,0,2.0
TXN0004333,2023-12-21 07:51:48,7,3,0,12,Checking,23,41887.44,53,SME,Direct Deposit,Credit,246.35,US,0,0,8,34,172.32,614.66,5,0.102,0,0,4.0
TXN0002146,2023-10-30 07:21:53,7,0,0,10,Business,6,9440.69,45,Corporate,Check,Debit,842.01,US,0,0,10,46,86.31,154.29,10,0.092,0,0,1.0
TXN0005169,2023-05-03 07:59:54,7,2,0,5,Checking,50,6178.02,63,SME,Internal Transfer,Debit,300.0,RU,1,1,1,5,189.09,876.97,8,0.05,0,0,5.0
TXN0006125,2023-06-24 18:27:52,18,5,1,6,Checking,33,12527.06,39,Wealth,POS Purchase,Credit,283.74,US,0,0,2,10,275.73,1219.45,7,0.112,0,0,2.0
TXN0005315,2023-08-18 14:59:28,14,4,0,8,Savings,22,395.41,21,RETAIL,ACH,Credit,34.73,US,0,0,2,9,94.94,337.5,10,0.093,0,0,5.0
