borrower_id,age,employment_type,employment_years,annual_income,credit_score,loan_amount,loan_term_months,loan_purpose,existing_debt,num_open_accounts,num_late_payments,dti_ratio,origination_date,origination_year,origination_quarter,fed_funds_rate,interest_rate_offered
BRW03040,44,Contract,5.9,55301.51,337.0,36700.0,24,Education,25212.81,4,0,0.228,2023-11-08,2023,Q4,5.271,4.984
BRW04367,38,Salaried,20.1,53968.49,443.0,60000.0,48,Medical,6485.93,3,0,0.03,2021-05-23,2021,Q2,0.184,2.5
BRW00373,47,Self-Employed,11.7,44299.86,346.0,38000.0,12,Auto,21115.35,1,0,0.4766,2023-11-19,2023,Q4,4.641,7.729
BRW03566,40,Salaried,0.8,8431.56,300.0,159700.0,60,Debt Consolidation,41467.91,4,0,0.9836,2023-01-21,2023,Q1,5.164,9.827
BRW02172,34,Salaried,12.4,36288.54,376.0,26300.0,60,Debt Consolidation,7507.83,4,1,0.0414,2022-10-30,2022,Q4,1.554,2.5
BRW01864,51,Salaried,1.1,,,142400.0,60,Business,16884.51,3,1,1.1256,2021-07-07,2021,Q3,0.302,2.716
BRW01181,51,Retired,1.4,47495.2,312.0,6000.0,84,Home Improvement,50464.84,2,0,0.1518,2021-10-27,2021,Q4,0.04,2.5
BRW03225,28,Salaried,0.4,67303.13,300.0,38700.0,36,Business,10110.08,4,0,0.0501,2022-09-24,2022,Q3,1.951,2.5
BRW01721,35,Salaried,1.3,16677.32,300.0,114100.0,48,Education,29489.91,4,0,0.4421,2021-05-15,2021,Q2,-0.167,2.5
BRW00486,31,Salaried,18.5,44142.28,327.0,35900.0,36,Business,41241.05,4,1,0.3114,2022-05-09,2022,Q2,1.745,4.23
BRW03290,52,Salaried,4.5,36782.77,300.0,31900.0,48,Medical,1322.41,6,2,0.009,2023-10-17,2023,Q4,5.167,6.802
BRW00065,51,Salaried,10.7,,390.0,58700.0,60,Debt Consolidation,15044.05,3,1,1.0029,2023-11-03,2023,Q4,4.912,9.589
BRW01209,55,Salaried,0.2,33792.23,311.0,32100.0,48,Auto,21427.88,6,0,0.1585,2022-02-25,2022,Q1,1.521,2.758
BRW00168,35,Self-Employed,0.4,139071.41,338.0,8600.0,36,Education,31415.84,0,1,0.0753,2021-04-11,2021,Q2,0.122,2.5
BRW04533,29,Salaried,2.3,51579.45,415.0,49000.0,36,Auto,11670.18,4,0,0.0754,2021-11-18,2021,Q4,0.332,2.5
BRW04109,40,Salaried,6.3,25810.52,390.0,51100.0,60,Debt Consolidation,57080.16,1,1,0.4423,2022-03-15,2022,Q1,2.004,4.652
BRW02825,55,Salaried,5.1,26613.59,542.0,54800.0,36,Business,7751.75,7,0,0.0971,2021-06-18,2021,Q2,0.189,2.5
BRW00746,39,Salaried,2.8,116182.48,341.0,31200.0,120,Debt Consolidation,22169.87,5,3,0.0191,2021-11-12,2021,Q4,0.132,2.5
BRW03154,27,Contract,3.5,133819.38,,27900.0,36,Education,67440.2,1,0,0.168,2023-02-24,2023,Q1,5.073,2.5
BRW00977,22,Salaried,2.3,43339.71,313.0,51100.0,24,Auto,133204.2,7,0,1.5367,2022-01-01,2022,Q1,1.656,8.816
BRW00296,46,Self-Employed,5.5,27424.5,391.0,26300.0,120,Medical,44172.87,3,0,0.1611,2022-06-21,2022,Q2,1.574,2.664
BRW03903,28,Salaried,1.6,67635.8,322.0,60300.0,12,Medical,30149.13,4,0,0.4458,2021-08-05,2021,Q3,0.165,2.5
BRW00731,28,Retired,3.4,43459.09,341.0,38300.0,36,Auto,3585.87,5,1,0.0275,2022-05-16,2022,Q2,1.711,2.5
BRW04310,38,Contract,11.1,144213.34,,23200.0,12,Debt Consolidation,11845.03,8,1,0.0821,2022-05-04,2022,Q2,1.546,2.5
BRW04883,42,Contract,2.9,48989.31,386.0,14900.0,48,Debt Consolidation,69979.73,0,1,0.3571,2021-10-19,2021,Q4,0.029,2.5
BRW01699,39,Self-Employed,0.5,24045.95,300.0,15600.0,60,Debt Consolidation,16952.37,5,1,0.141,2021-03-23,2021,Q1,0.025,2.5
BRW01872,34,Salaried,1.8,74470.5,345.0,42000.0,60,Debt Consolidation,25644.88,6,2,0.0689,2023-07-01,2023,Q3,5.144,6.302
BRW01101,22,Salaried,1.3,40195.64,,30300.0,48,Debt Consolidation,22390.94,5,0,0.1393,2023-06-21,2023,Q2,4.704,2.5
BRW04746,39,Salaried,2.4,,300.0,68800.0,84,Home Improvement,3291.13,6,0,0.1567,2021-03-06,2021,Q1,-0.037,2.5
BRW00079,22,Salaried,2.8,23511.99,300.0,61700.0,84,Auto,7460.01,5,0,0.0453,2023-06-15,2023,Q2,5.012,5.824
BRW01038,40,Unemployed,0.6,25974.44,364.0,20000.0,48,Debt Consolidation,5414.53,8,0,0.0521,2021-05-06,2021,Q2,0.12,2.5
BRW02826,50,Self-Employed,7.3,59331.5,330.0,47000.0,48,Auto,29384.98,4,5,0.1238,2023-09-09,2023,Q3,5.098,10.446
BRW03656,38,Salaried,3.2,54838.96,399.0,25600.0,24,Business,4186.94,2,1,0.0382,2021-10-19,2021,Q4,0.194,2.5
BRW03260,35,Unemployed,3.4,5117.2,382.0,16400.0,24,Auto,15204.89,5,1,1.4857,2021-05-10,2021,Q2,-0.093,9.811
BRW01197,43,Salaried,3.5,43213.43,310.0,34700.0,84,Education,7487.01,5,3,0.0248,2021-07-14,2021,Q3,0.257,2.5
BRW01200,39,Self-Employed,7.8,190525.49,367.0,70800.0,120,Home Improvement,33768.31,5,1,0.0177,2021-10-15,2021,Q4,-0.046,2.5
BRW00106,56,Salaried,6.4,22723.41,439.0,21600.0,12,Vacation,47623.14,0,1,2.0958,2021-02-10,2021,Q1,0.054,8.045
BRW03738,34,Unemployed,20.4,7815.31,410.0,20800.0,48,Debt Consolidation,21533.36,6,1,0.6888,2022-01-20,2022,Q1,1.74,8.112
BRW01832,47,Self-Employed,2.9,67177.04,368.0,13500.0,60,Debt Consolidation,9692.74,6,1,0.0289,2023-03-26,2023,Q1,4.73,5.342
BRW01094,45,Retired,1.7,,339.0,54200.0,24,Auto,7698.28,3,0,1.283,2021-08-20,2021,Q3,0.319,5.106
BRW04476,33,Self-Employed,0.6,21677.26,,35400.0,48,Debt Consolidation,15714.65,5,3,0.1812,2023-02-23,2023,Q1,4.992,4.809
BRW03235,39,Unemployed,0.5,9918.11,395.0,21200.0,36,Education,21284.12,5,0,0.7153,2023-04-20,2023,Q2,4.749,10.645
BRW01272,27,Contract,2.1,,308.0,114500.0,60,Debt Consolidation,11971.58,3,1,0.7981,2021-02-02,2021,Q1,0.104,3.751
BRW01020,43,Contract,21.0,64767.44,396.0,41300.0,48,Auto,18097.11,4,3,0.0699,2023-05-24,2023,Q2,5.026,6.09
BRW01330,53,Contract,5.1,111801.64,387.0,73200.0,24,Medical,53818.15,2,0,0.2407,2023-03-20,2023,Q1,4.84,4.841
BRW02484,32,Salaried,0.4,30900.04,300.0,30000.0,36,Medical,22427.89,3,1,0.2419,2023-04-09,2023,Q2,4.958,7.344
BRW04655,59,Salaried,4.8,60332.16,354.0,35900.0,60,Business,4282.31,3,2,0.0142,2022-07-10,2022,Q3,1.746,2.5
BRW00751,24,Self-Employed,4.8,112733.21,383.0,37300.0,48,Auto,12562.1,5,2,0.0279,2021-04-26,2021,Q2,0.407,3.771
BRW03658,39,Contract,0.7,46504.99,342.0,51500.0,60,Home Improvement,63018.5,2,0,0.271,2022-01-07,2022,Q1,1.787,2.5
BRW02341,42,Unemployed,6.2,26691.76,384.0,51100.0,36,Debt Consolidation,33851.56,1,0,4.295043008542802,2023-11-29,2023,Q4,5.044,26.936
BRW04635,22,Salaried,14.6,95549.15,434.0,66200.0,60,Debt Consolidation,21113.26,9,0,0.0442,2021-08-09,2021,Q3,0.194,2.5
BRW01335,34,Salaried,4.1,70031.85,316.0,67800.0,12,Medical,14949.33,3,2,0.2135,2023-07-11,2023,Q3,4.829,5.9
BRW01421,48,Contract,10.7,63450.04,397.0,26300.0,84,Auto,2268.17,4,0,0.0051,2022-08-19,2022,Q3,1.618,2.5
BRW01427,26,Self-Employed,6.2,31130.14,361.0,29700.0,48,Education,35521.11,3,1,0.2853,2022-05-25,2022,Q2,1.746,3.366
BRW03317,28,Self-Employed,1.3,19832.92,328.0,22200.0,120,Home Improvement,7615.2,3,1,0.0384,2021-06-01,2021,Q2,0.064,2.5
BRW01041,33,Self-Employed,2.6,38568.15,368.0,64800.0,60,Business,71909.81,4,3,0.3729,2022-11-04,2022,Q4,1.766,5.804
BRW01503,37,Salaried,10.2,157691.69,392.0,27800.0,12,Education,16770.26,6,0,0.1063,2021-04-05,2021,Q2,-0.045,2.5
BRW00856,29,Unemployed,3.5,11541.75,300.0,38100.0,36,Home Improvement,4128.44,7,3,0.1192,2023-09-05,2023,Q3,5.026,11.677
BRW03922,34,Contract,10.3,21056.11,356.0,18300.0,60,Debt Consolidation,21937.84,5,0,0.2084,2022-12-07,2022,Q4,1.747,2.5
BRW00485,23,Self-Employed,3.7,88886.2,372.0,33200.0,48,Debt Consolidation,12240.78,3,0,0.0344,2022-09-23,2022,Q3,1.781,2.555
BRW03938,34,Salaried,12.8,69972.9,389.0,28000.0,36,Debt Consolidation,18730.62,7,0,0.0892,2022-11-01,2022,Q4,1.647,2.5
BRW01174,30,Salaried,9.1,,362.0,24500.0,60,Education,28005.16,3,0,1.867,2021-12-01,2021,Q4,-0.097,6.538
BRW01362,39,Unemployed,2.1,12090.05,345.0,31300.0,48,Education,43286.25,4,0,0.8951,2022-07-01,2022,Q3,1.83,9.112
BRW04684,27,Salaried,6.1,66947.36,316.0,19700.0,36,Business,17837.09,1,0,2.729335482181299,2022-08-08,2022,Q3,1.638,13.086
BRW03886,22,Retired,16.8,18476.74,378.0,77400.0,60,Home Improvement,11007.9,5,0,0.1192,2021-04-11,2021,Q2,-0.058,2.5
BRW02575,26,Salaried,7.5,94557.22,300.0,73400.0,36,Auto,3253.1,5,3,0.0115,2021-07-23,2021,Q3,-0.095,2.5
BRW04272,24,Self-Employed,6.9,76075.83,300.0,36600.0,60,Auto,5538.07,2,0,0.0146,2022-08-14,2022,Q3,1.576,2.5
BRW00029,35,Self-Employed,4.4,66520.0,354.0,28100.0,60,Home Improvement,30921.44,6,1,0.093,2021-04-06,2021,Q2,0.153,2.5
BRW02698,44,Self-Employed,3.0,59838.7,324.0,43900.0,24,Home Improvement,13430.0,5,1,0.1122,2022-07-28,2022,Q3,1.49,4.075
BRW04232,31,Salaried,13.2,39851.59,407.0,12300.0,120,Home Improvement,13336.72,5,2,0.0335,2021-05-23,2021,Q2,0.229,2.5
BRW04005,43,Salaried,4.2,,337.0,36200.0,48,Home Improvement,5324.58,4,0,0.4437,2021-09-01,2021,Q3,-0.083,2.5
BRW01305,29,Self-Employed,2.0,36571.16,300.0,33200.0,36,Business,4418.85,3,1,0.0403,2021-03-13,2021,Q1,-0.141,2.5
BRW00530,44,Salaried,2.5,28824.55,,71600.0,84,Home Improvement,110980.08,3,1,0.55,2022-06-19,2022,Q2,1.531,2.5
BRW01684,26,Self-Employed,3.4,27638.1,354.0,38400.0,48,Debt Consolidation,3622.0,2,1,0.0328,2021-06-03,2021,Q2,0.213,2.5
BRW00240,30,Self-Employed,12.6,,357.0,70900.0,36,Medical,55122.19,1,2,2.5,2022-08-31,2022,Q3,1.798,14.424
BRW04284,30,Salaried,2.2,45185.1,300.0,44100.0,48,Home Improvement,12579.53,4,0,0.0696,2021-12-16,2021,Q4,0.245,2.5
BRW02672,40,Salaried,3.4,45242.6,,210600.0,12,Business,7440.48,4,0,0.1645,2022-08-02,2022,Q3,1.667,2.5
BRW02088,33,Contract,0.7,58241.93,300.0,19100.0,48,Auto,19395.32,3,0,0.0833,2023-03-16,2023,Q1,5.131,5.135
BRW00157,42,Contract,1.2,34767.85,,108700.0,24,Debt Consolidation,15416.04,2,0,0.2217,2021-02-09,2021,Q1,0.432,2.5
BRW00691,49,Self-Employed,20.8,33009.95,321.0,24800.0,60,Debt Consolidation,23654.21,9,0,0.1433,2021-04-24,2021,Q2,0.247,2.5
BRW00297,41,Unemployed,3.7,19520.95,370.0,30700.0,60,Debt Consolidation,16509.57,2,0,0.1691,2023-12-05,2023,Q4,4.887,8.11
BRW02440,55,Salaried,18.2,33769.2,442.0,51100.0,24,Home Improvement,34111.13,6,0,0.5051,2022-09-29,2022,Q3,1.675,2.5
BRW02990,53,Salaried,7.0,43011.34,409.0,61200.0,60,Debt Consolidation,2602.33,3,1,0.0121,2022-05-19,2022,Q2,1.798,2.5
BRW03479,51,Salaried,6.0,14384.08,,8100.0,12,Business,31912.71,0,0,2.2186,2022-06-29,2022,Q2,1.471,7.471
BRW01952,28,Salaried,0.4,64160.85,339.0,18700.0,60,Business,12385.05,2,0,0.0386,2023-02-07,2023,Q1,5.011,5.093
BRW03187,46,Salaried,5.6,114565.74,361.0,63700.0,36,Home Improvement,15341.99,1,0,0.0446,2021-12-27,2021,Q4,0.255,2.5
BRW04892,32,Salaried,1.6,61166.14,301.0,28900.0,48,Home Improvement,4706.56,8,2,0.0192,2023-10-29,2023,Q4,4.887,6.509
BRW00023,23,Self-Employed,5.6,43840.4,376.0,15000.0,24,Debt Consolidation,3064.81,4,1,0.035,2021-03-18,2021,Q1,-0.206,2.5
BRW04915,40,Salaried,6.3,17934.76,374.0,30200.0,36,Home Improvement,7609.14,3,0,0.1414,2023-07-12,2023,Q3,5.287,3.606
BRW03350,32,Salaried,1.7,73199.87,358.0,46700.0,24,Home Improvement,7901.44,3,1,0.054,2022-11-28,2022,Q4,1.909,2.5
BRW03758,40,Self-Employed,8.8,95370.52,492.0,21100.0,120,Auto,25563.57,5,0,0.0268,2023-05-11,2023,Q2,4.708,3.628
BRW02509,24,Salaried,6.6,25015.03,360.0,70000.0,84,Business,5928.25,5,0,0.0339,2021-06-19,2021,Q2,0.298,2.5
BRW04279,41,Salaried,3.6,156970.77,348.0,41800.0,12,Home Improvement,2546.0,8,0,0.0162,2021-12-25,2021,Q4,0.19,2.5
BRW03662,41,Self-Employed,2.5,35468.93,385.0,31100.0,48,Auto,19241.76,3,0,0.1356,2022-05-13,2022,Q2,1.665,2.5
BRW02034,48,Contract,0.8,106324.94,443.0,127500.0,48,Medical,2343.18,9,3,0.0055,2022-09-03,2022,Q3,1.784,2.5
BRW04204,39,Salaried,0.6,41063.68,351.0,50100.0,60,Home Improvement,15534.96,6,0,0.0757,2023-08-11,2023,Q3,4.956,4.301
BRW01095,37,Salaried,3.1,26732.78,415.0,28700.0,60,Auto,18154.26,1,0,0.1358,2022-01-06,2022,Q1,1.455,2.5
BRW02867,29,Contract,3.2,52073.18,356.0,42000.0,60,Auto,55180.57,1,0,0.2119,2023-09-10,2023,Q3,5.001,5.019
BRW03434,60,Contract,7.3,251978.7,,34900.0,60,Auto,46853.94,2,0,0.0372,2022-11-09,2022,Q4,1.723,2.5
BRW00239,46,Salaried,6.1,44367.16,383.0,45900.0,36,Debt Consolidation,3752.06,1,3,0.0282,2021-03-25,2021,Q1,0.022,2.5
BRW03017,22,Salaried,1.1,48529.12,300.0,10300.0,60,Business,85851.71,3,0,0.3538,2022-12-23,2022,Q4,1.535,3.05
BRW03982,69,Contract,6.1,43678.8,425.0,44000.0,24,Auto,7285.7,2,4,0.0834,2022-09-05,2022,Q3,1.647,3.786
BRW04159,38,Contract,0.9,18723.36,306.0,23100.0,24,Debt Consolidation,10514.1,5,0,0.2808,2021-01-20,2021,Q1,0.041,2.5
BRW00179,65,Self-Employed,1.3,179903.44,412.0,105800.0,24,Debt Consolidation,2946.75,2,3,0.0082,2021-10-17,2021,Q4,-0.09,2.5
BRW03997,34,Self-Employed,5.9,32669.93,319.0,61600.0,36,Auto,5775.46,3,1,0.0589,2021-03-31,2021,Q1,-0.163,2.5
BRW02404,54,Salaried,4.6,54459.86,365.0,78900.0,48,Medical,17698.24,3,0,0.0812,2023-12-11,2023,Q4,5.004,4.271
BRW02860,32,Salaried,6.7,125980.4,408.0,37100.0,36,Debt Consolidation,11435.62,3,0,0.0303,2021-10-28,2021,Q4,0.198,2.5
BRW01718,45,Salaried,8.1,102072.77,380.0,16600.0,60,Auto,11099.77,5,2,0.0217,2023-07-13,2023,Q3,4.817,5.843
BRW04280,58,Self-Employed,13.2,89392.82,443.0,106700.0,36,Debt Consolidation,12412.93,0,0,0.0463,2023-12-20,2023,Q4,4.859,5.01
BRW01770,38,Salaried,1.1,51954.29,317.0,36300.0,24,Vacation,21741.86,3,0,0.2092,2023-03-07,2023,Q1,5.033,5.979
BRW02104,26,Salaried,1.6,,300.0,30200.0,36,Home Improvement,31909.77,5,1,2.5,2021-01-16,2021,Q1,-0.1,11.16
BRW04662,32,Contract,1.5,80949.59,300.0,122900.0,48,Business,7325.1,5,1,0.0226,2022-03-03,2022,Q1,1.39,2.5
BRW04924,42,Salaried,1.6,47726.44,337.0,82900.0,36,Education,19605.79,3,0,0.1369,2022-09-30,2022,Q3,1.857,2.706
BRW00711,37,Retired,0.1,,,51100.0,36,Auto,16954.37,4,0,1.8838,2021-04-09,2021,Q2,0.199,4.608
BRW02133,43,Salaried,0.1,37138.64,349.0,28100.0,60,Home Improvement,14163.85,7,2,0.0763,2023-02-17,2023,Q1,5.075,7.34
BRW02957,35,Salaried,4.2,115756.85,340.0,57000.0,60,Auto,41394.07,3,1,0.0715,2023-02-02,2023,Q1,4.709,5.74
BRW00333,31,Salaried,0.7,,,127900.0,24,Debt Consolidation,17364.68,4,0,2.8929613837042023,2021-08-18,2021,Q3,-0.076,8.803
BRW00896,36,Salaried,0.2,58694.72,,18700.0,36,Debt Consolidation,55637.84,4,0,0.316,2023-03-02,2023,Q1,4.91,2.608
BRW04153,30,Self-Employed,1.9,45269.6,372.0,31600.0,60,Auto,2651.65,6,3,0.0117,2021-05-29,2021,Q2,0.112,2.5
BRW04283,47,Salaried,0.9,36162.68,364.0,46400.0,120,Home Improvement,15443.83,3,1,0.0427,2022-02-14,2022,Q1,1.792,2.505
BRW03815,22,Contract,1.4,67004.79,341.0,20700.0,12,Debt Consolidation,41431.83,4,0,0.6183,2022-07-26,2022,Q3,1.834,3.859
BRW02395,23,Salaried,6.8,28392.51,300.0,37300.0,24,Debt Consolidation,40836.19,3,1,0.7191,2021-12-16,2021,Q4,-0.019,4.211
BRW03992,22,Retired,3.4,117178.11,341.0,55600.0,60,Education,12370.57,5,4,0.0211,2022-10-10,2022,Q4,1.829,4.325
BRW03595,49,Salaried,0.5,57052.43,402.0,14300.0,24,Business,4270.27,3,0,0.0374,2023-10-08,2023,Q4,5.106,2.832
BRW03038,28,Unemployed,0.4,5484.78,,53800.0,60,Business,4046.26,6,2,0.1475,2023-12-10,2023,Q4,4.887,6.887
BRW04326,32,Salaried,10.7,57634.14,350.0,80100.0,48,Auto,8848.89,6,3,0.0384,2023-03-22,2023,Q1,5.069,8.044
BRW00705,44,Salaried,2.5,22949.85,316.0,161800.0,36,Debt Consolidation,2838.25,3,0,0.0412,2022-10-03,2022,Q4,1.532,2.5
BRW01374,52,Salaried,0.2,65669.37,413.0,18300.0,36,Auto,4247.93,4,1,0.0216,2022-02-14,2022,Q1,1.832,2.5
BRW02309,46,Self-Employed,3.0,27445.55,373.0,27400.0,120,Auto,13994.83,2,0,0.051,2022-02-08,2022,Q1,1.762,2.991
BRW03963,45,Salaried,9.3,32508.23,425.0,18400.0,60,Auto,8511.04,6,0,0.0524,2021-04-14,2021,Q2,0.089,2.5
BRW04418,34,Unemployed,0.8,12856.21,300.0,17100.0,36,Education,9080.63,3,0,0.2354,2021-03-02,2021,Q1,-0.071,4.632
BRW02881,22,Salaried,12.1,29260.64,300.0,29600.0,84,Home Improvement,13724.78,4,0,0.067,2023-12-07,2023,Q4,5.215,6.095
BRW01533,36,Self-Employed,0.0,22734.36,333.0,27000.0,60,Business,29278.8,2,0,0.2576,2021-06-01,2021,Q2,-0.076,2.5
BRW03245,45,Salaried,4.0,30108.75,320.0,6500.0,36,Business,6479.35,3,1,0.0717,2022-11-28,2022,Q4,1.563,2.5
BRW02649,47,Salaried,6.0,25156.95,367.0,10400.0,36,Education,19759.39,3,0,0.2618,2021-03-06,2021,Q1,0.239,2.5
BRW03065,41,Salaried,1.7,23570.51,,86900.0,48,Medical,9105.97,1,4,0.0966,2022-07-26,2022,Q3,1.614,2.5
BRW00829,35,Self-Employed,0.3,31240.16,316.0,38400.0,60,Debt Consolidation,7693.82,5,1,0.0493,2023-05-07,2023,Q2,5.066,6.899
BRW03574,25,Salaried,2.0,49974.56,357.0,35800.0,36,Debt Consolidation,7206.98,8,0,0.0481,2022-10-27,2022,Q4,1.859,2.5
BRW01451,55,Retired,12.9,,416.0,96200.0,48,Debt Consolidation,26033.29,2,3,2.1694,2022-07-04,2022,Q3,1.831,13.434
BRW03803,39,Contract,4.0,36466.17,346.0,69900.0,36,Education,11519.13,1,3,0.1053,2022-10-22,2022,Q4,1.811,2.912
BRW02236,38,Unemployed,1.7,29188.48,311.0,78200.0,24,Business,6039.78,4,0,0.1035,2023-11-12,2023,Q4,5.005,8.668
BRW04897,26,Salaried,4.9,49983.89,300.0,53100.0,36,Home Improvement,22757.95,1,0,0.1518,2023-07-07,2023,Q3,5.018,6.724
BRW00279,34,Contract,6.5,107358.87,450.0,28200.0,84,Vacation,4816.2,7,4,0.0064,2021-08-06,2021,Q3,-0.071,2.5
BRW03499,34,Salaried,0.1,97255.67,302.0,51700.0,60,Auto,11768.98,5,0,0.0242,2023-02-24,2023,Q1,5.045,3.865
BRW01617,30,Salaried,0.3,45878.84,304.0,25700.0,48,Debt Consolidation,7847.71,6,0,0.0428,2021-05-08,2021,Q2,0.37,2.5
BRW01859,40,Contract,1.9,105756.78,372.0,31000.0,120,Home Improvement,26958.58,2,1,0.0255,2022-12-16,2022,Q4,1.766,2.5
BRW04890,29,Salaried,6.1,84569.88,437.0,200100.0,48,Auto,12786.84,4,0,0.0378,2022-08-18,2022,Q3,1.889,2.5
BRW02254,25,Salaried,9.4,41966.41,317.0,58500.0,36,Debt Consolidation,8572.93,6,2,0.0681,2023-12-10,2023,Q4,5.116,6.811
BRW00893,49,Salaried,2.8,16798.31,400.0,51900.0,24,Home Improvement,8336.94,4,0,0.2481,2021-06-12,2021,Q2,-0.01,2.5
BRW02638,27,Contract,2.8,40228.68,310.0,61100.0,60,Debt Consolidation,17455.54,4,2,0.0868,2021-12-26,2021,Q4,0.237,2.932
BRW00655,38,Salaried,1.4,68869.23,345.0,17800.0,84,Medical,14015.25,0,1,0.0291,2021-07-13,2021,Q3,0.104,2.5
BRW04687,28,Salaried,3.3,155578.75,302.0,172900.0,60,Auto,5827.9,2,0,0.0075,2023-08-19,2023,Q3,4.966,5.021
BRW04614,38,Unemployed,0.9,5290.87,300.0,48800.0,120,Auto,3764.47,3,2,0.0712,2023-01-28,2023,Q1,5.042,10.705
BRW00228,30,Contract,0.8,52391.61,328.0,18800.0,60,Education,67892.66,3,0,0.2592,2022-05-14,2022,Q2,1.521,3.957
BRW04618,37,Salaried,10.4,61653.1,311.0,60100.0,36,Debt Consolidation,2895.41,3,0,0.0157,2021-03-26,2021,Q1,-0.01,2.5
BRW01129,41,Salaried,2.4,79665.07,335.0,53100.0,48,Debt Consolidation,9482.98,6,2,0.0298,2021-03-04,2021,Q1,0.121,2.5
BRW02073,39,Contract,2.4,40176.75,348.0,14100.0,36,Medical,23328.54,3,3,0.1935,2023-01-17,2023,Q1,5.218,8.297
BRW04347,22,Contract,6.6,89804.91,380.0,70400.0,84,Debt Consolidation,7878.59,4,1,0.0125,2022-08-13,2022,Q3,1.689,2.5
BRW00491,52,Unemployed,1.2,18602.34,419.0,49100.0,60,Home Improvement,38275.28,2,0,0.4115,2021-11-20,2021,Q4,0.205,4.428
BRW01732,37,Unemployed,3.0,6941.46,339.0,36700.0,24,Auto,1949.1,4,0,0.1404,2021-04-29,2021,Q2,0.177,3.87
BRW01215,50,Salaried,2.6,34996.51,324.0,66000.0,84,Debt Consolidation,10568.85,5,2,0.0431,2022-10-09,2022,Q4,1.821,3.51
BRW02834,35,Contract,1.6,23516.67,302.0,38400.0,60,Vacation,31427.81,4,2,0.2673,2021-01-23,2021,Q1,-0.058,2.735
BRW01268,30,Contract,1.9,77525.89,309.0,14900.0,84,Medical,3740.24,3,0,0.0069,2023-09-24,2023,Q3,4.949,5.175
BRW04791,34,Salaried,2.5,128803.81,398.0,33400.0,36,Debt Consolidation,1210.12,2,0,0.0031,2023-05-26,2023,Q2,4.983,4.3
